# Source: SrV 2023 Braunschweig + Regionalverband Grossraum Braunschweig scientific-use
#   microdata (local-only, see srv2023_raw/README.md), generated by
#   scripts/extract_srv_departure_times.py on 2026-09-10.
# Code state: eqasim-bs 0a431ea4, module braunschweig/calibration/srv_departure_times.py
#   (the commit that INTRODUCED this module; the table shape/header were updated in a
#   later fix-round commit -- the measured shares are unchanged where the cell existed).
# Table: srv2023_activity_duration_reference.csv
# Role: the HOLD-OUT (validation) reference for the departure-time model (issue #123,
#   ADR-0114) in its ENTIRETY -- activity durations are never mapped or touched by the
#   model (spec 2026-09-09-departure-time-srv-mapping-design.md section 2.2); this table
#   only measures whether the model's realised durations still resemble SrV's after the
#   first-departure mapping changes upstream chain timing. Read by the planned analysis
#   stage braunschweig.analysis.synthesis.departure_time_vs_srv (spec section 2.1.3), not
#   by the model itself.
# Universe: at_home_zero only (see srv2023_departure_time_reference.csv for the reasoning).
# Weights: GEWICHT_W_ZENSUS (trip-level expansion to Zensus 2022 counts, ADR-0055).
# Segments: ['all', 'employed', 'child_0_5', 'school_age_6_17_not_employed', 'adult_18_64_not_employed', 'senior_65plus_not_employed'].
# Purposes: ['all', 'work', 'education', 'shop', 'leisure', 'escort', 'other', 'home'] (all is a POOLED purpose: every leg of the segment, regardless of its own
#   purpose -- same rationale as the departure-time reference's pooled purpose). A leg
#   whose destination purpose harmonise_srv could not map to a named purpose (it does NOT
#   exclude such legs, it only cannot classify them) is EXCLUDED from every named-purpose
#   cell and INCLUDED only in the 'all' pooled cell -- see the 'unknown-purpose'
#   exclusion line below. Otherwise, purpose is the CURRENT trip's destination purpose,
#   i.e. the activity that trip leads into. Long format: one row per (segment, purpose,
#   band), DENSE over band for any (segment, purpose) with >= 1 included leg -- all 6 of
#   ['0-0.5h', '0.5-1h', '1-2h', '2-4h', '4-8h', '8h+'], most 0.0; share sums to 1.0 per (segment, purpose); n_unweighted repeats the
#   group's unweighted leg count. UNLIKE the departure-time reference, a (segment,
#   purpose) with ZERO contributing legs is OMITTED entirely (this table is read by
#   humans and the analysis stage, not programmatically coarsened by the model).
# Duration = the NEXT trip's dep_min minus the CURRENT trip's arr_min, within the same
#   person. A trip with no following trip (the day's last trip) or a missing arr_min /
#   following dep_min has no measurable duration; a measured duration outside
#   [0, 20] h (srv_plan_structure.WORK_ACTIVITY_MAX_H, generalised here from work
#   activities to every purpose -- ASSUMPTION: an implausible duration is implausible
#   regardless of activity type) is EXCLUDED and counted, never clipped.
# Guards inherited from srv_plan_structure.harmonise_srv: every STICHTAG_WTAG in [2, 3, 4] and
#   GEWICHT_P_WERKTAG == -6.0 everywhere (the extraction raises rather than adapting).
# Harmonisation exclusions (srv_plan_structure.harmonise_srv, full raw microdata): n_persons_raw=18223, n_persons_negative_weight=0, n_persons_universe=18223, n_persons_away_from_home=954, n_persons_missing_age=2, n_persons_unmapped_sex=34, n_persons_no_kreis=0, n_trips_raw=58148, n_trips_negative_weight=0, n_trips_person_dropped=0, n_trips_universe=58148, n_trips_unknown_purpose=27, n_trips_unknown_prev_purpose=20, n_trips_invalid_departure_time=250, n_trips_invalid_arrival_time=298
# Activity-duration exclusions (this table, on the harmonised universe, unknown-purpose
#   counts are informational -- those legs are NOT dropped, only excluded from named-
#   purpose cells): n_legs_total=58148, n_legs_excluded_no_next_or_missing_time=15610, n_legs_excluded_out_of_range=0, n_legs_included=42538, n_legs_unknown_purpose_raw=27, n_legs_unknown_purpose_included=19
# Rows: 282.
universe,segment,purpose,band,share,n_unweighted
at_home_zero,child_0_5,escort,8h+,0.001360830105,220
at_home_zero,child_0_5,other,0-0.5h,0.4606918811,122
at_home_zero,child_0_5,other,0.5-1h,0.2888405008,122
at_home_zero,child_0_5,other,1-2h,0.2045231063,122
at_home_zero,child_0_5,other,2-4h,0.01611850901,122
at_home_zero,child_0_5,other,4-8h,0.02790868073,122
at_home_zero,child_0_5,other,8h+,0.001917322091,122
at_home_zero,child_0_5,home,0-0.5h,0.2033955241,397
at_home_zero,child_0_5,home,0.5-1h,0.1655831717,397
at_home_zero,child_0_5,home,1-2h,0.2236168842,397
at_home_zero,child_0_5,home,2-4h,0.2558452566,397
at_home_zero,child_0_5,home,4-8h,0.1488459366,397
at_home_zero,child_0_5,home,8h+,0.002713226756,397
at_home_zero,school_age_6_17_not_employed,all,0-0.5h,0.1438903072,4197
at_home_zero,school_age_6_17_not_employed,all,0.5-1h,0.08684241037,4197
at_home_zero,school_age_6_17_not_employed,all,1-2h,0.1780391751,4197
at_home_zero,school_age_6_17_not_employed,all,2-4h,0.1413708281,4197
at_home_zero,school_age_6_17_not_employed,all,4-8h,0.4155353464,4197
at_home_zero,school_age_6_17_not_employed,all,8h+,0.03432193279,4197
at_home_zero,school_age_6_17_not_employed,work,0-0.5h,0,10
at_home_zero,school_age_6_17_not_employed,work,0.5-1h,0,10
at_home_zero,school_age_6_17_not_employed,work,1-2h,0.0944943088,10
at_home_zero,school_age_6_17_not_employed,work,2-4h,0.07057305695,10
at_home_zero,school_age_6_17_not_employed,work,4-8h,0.6240204857,10
at_home_zero,school_age_6_17_not_employed,work,8h+,0.2109121486,10
at_home_zero,school_age_6_17_not_employed,education,0-0.5h,0.01532882894,1992
at_home_zero,school_age_6_17_not_employed,education,0.5-1h,0.01851602376,1992
at_home_zero,school_age_6_17_not_employed,education,1-2h,0.04441802595,1992
at_home_zero,school_age_6_17_not_employed,education,2-4h,0.05226769567,1992
at_home_zero,school_age_6_17_not_employed,education,4-8h,0.8016175711,1992
at_home_zero,school_age_6_17_not_employed,education,8h+,0.06785185457,1992
at_home_zero,school_age_6_17_not_employed,shop,0-0.5h,0.666934103,164
at_home_zero,school_age_6_17_not_employed,shop,0.5-1h,0.2256176366,164
at_home_zero,school_age_6_17_not_employed,shop,1-2h,0.08020721825,164
at_home_zero,school_age_6_17_not_employed,shop,2-4h,0.0207106711,164
at_home_zero,school_age_6_17_not_employed,shop,4-8h,0.006530371037,164
at_home_zero,school_age_6_17_not_employed,shop,8h+,0,164
at_home_zero,school_age_6_17_not_employed,leisure,0-0.5h,0.1958426429,869
at_home_zero,school_age_6_17_not_employed,leisure,0.5-1h,0.113648399,869
at_home_zero,school_age_6_17_not_employed,leisure,1-2h,0.4571379746,869
at_home_zero,school_age_6_17_not_employed,leisure,2-4h,0.1909705107,869
at_home_zero,school_age_6_17_not_employed,leisure,4-8h,0.04220194193,869
at_home_zero,school_age_6_17_not_employed,leisure,8h+,0.0001985308193,869
at_home_zero,school_age_6_17_not_employed,escort,0-0.5h,0.8604716314,90
at_home_zero,school_age_6_17_not_employed,escort,0.5-1h,0.0186687324,90
at_home_zero,school_age_6_17_not_employed,escort,1-2h,0.04682162218,90
at_home_zero,school_age_6_17_not_employed,escort,2-4h,0.01343222657,90
at_home_zero,school_age_6_17_not_employed,escort,4-8h,0.0213833633,90
at_home_zero,school_age_6_17_not_employed,escort,8h+,0.03922242416,90
at_home_zero,school_age_6_17_not_employed,other,0-0.5h,0.4015258798,170
at_home_zero,school_age_6_17_not_employed,other,0.5-1h,0.2902598679,170
at_home_zero,school_age_6_17_not_employed,other,1-2h,0.1715500614,170
at_home_zero,school_age_6_17_not_employed,other,2-4h,0.0829819168,170
at_home_zero,school_age_6_17_not_employed,other,4-8h,0.05128931078,170
at_home_zero,school_age_6_17_not_employed,other,8h+,0.002392963353,170
at_home_zero,school_age_6_17_not_employed,home,0-0.5h,0.1542999811,898
at_home_zero,school_age_6_17_not_employed,home,0.5-1h,0.159656966,898
at_home_zero,school_age_6_17_not_employed,home,1-2h,0.2438639672,898
at_home_zero,school_age_6_17_not_employed,home,2-4h,0.340127009,898
at_home_zero,school_age_6_17_not_employed,home,4-8h,0.09998076634,898
at_home_zero,school_age_6_17_not_employed,home,8h+,0.002071310418,898
at_home_zero,adult_18_64_not_employed,all,0-0.5h,0.3852275619,5805
at_home_zero,adult_18_64_not_employed,all,0.5-1h,0.1356601791,5805
at_home_zero,adult_18_64_not_employed,all,1-2h,0.176588807,5805
at_home_zero,adult_18_64_not_employed,all,2-4h,0.1614488451,5805
at_home_zero,adult_18_64_not_employed,all,4-8h,0.1194493737,5805
at_home_zero,adult_18_64_not_employed,all,8h+,0.02162523322,5805
at_home_zero,adult_18_64_not_employed,work,0-0.5h,0.0938731861,282
at_home_zero,adult_18_64_not_employed,work,0.5-1h,0.05353795975,282
at_home_zero,adult_18_64_not_employed,work,1-2h,0.1048983538,282
at_home_zero,adult_18_64_not_employed,work,2-4h,0.1963170328,282
at_home_zero,adult_18_64_not_employed,work,4-8h,0.3916444519,282
at_home_zero,adult_18_64_not_employed,work,8h+,0.1597290157,282
at_home_zero,adult_18_64_not_employed,education,0-0.5h,0.04648690301,405
at_home_zero,adult_18_64_not_employed,education,0.5-1h,0.01891005036,405
at_home_zero,adult_18_64_not_employed,education,1-2h,0.2795941838,405
