# Source: SrV 2023 Braunschweig+RGB SciUse (TU Dresden), Wege table, V_ZWECK in leisure/other category map, GEWICHT_W-weighted.
# Generated by scripts/derive_srv_location_types.py; n_in_scope=13514; exclusion rates are counted against n_in_scope: excluded_invalid_mode=4/13514 (0.03%), excluded_invalid_length=3547/13514 (26.25%); thin_cells_omitted=17, cells_reported=50, min_obs=30.
# ASSUMPTION: euclid_km = GIS_LAENGE_GUELTIG / DETOUR_FACTOR (DETOUR_FACTOR=1.3), same routed->euclidean assumption as the MiD distance layers.
# Band edges (euclidean km): [0.0, 0.5, 1.0, 1.5, 2.5, 4.0, 8.0, inf].
# Marginal rows (is_marginal=1, mode="all", band [0, inf)) are the per-purpose fallback used whenever a (mode, band) cell is thinner than min_obs=30 unweighted legs; cell rows (is_marginal=0) are reported only where the cell meets that threshold.
# Regenerate there, never edit.
purpose,mode,band_lower_km,band_upper_km,is_marginal,category,probability,n_legs_unweighted
leisure,car_passenger,0.5,1.0,0,leisure_visit,0.4894245982596897,20
leisure,car_passenger,1.0,1.5,0,leisure_culture,0.0150592360645808,1
leisure,car_passenger,1.0,1.5,0,leisure_gastronomy,0.2743529917586766,10
leisure,car_passenger,1.0,1.5,0,leisure_misc,0.15425010818889015,8
leisure,car_passenger,1.0,1.5,0,leisure_outdoor,0.12637725787349968,4
leisure,car_passenger,1.0,1.5,0,leisure_sports,0.3543863805700179,16
leisure,car_passenger,1.0,1.5,0,leisure_visit,0.07557402554433483,6
leisure,car_passenger,1.5,2.5,0,leisure_gastronomy,0.12371323118371791,17
leisure,car_passenger,1.5,2.5,0,leisure_misc,0.16067353520838457,22
leisure,car_passenger,1.5,2.5,0,leisure_outdoor,0.04168634429773711,6
leisure,car_passenger,1.5,2.5,0,leisure_sports,0.42397807208276406,50
leisure,car_passenger,1.5,2.5,0,leisure_visit,0.24994881722739648,35
leisure,car_passenger,2.5,4.0,0,leisure_culture,0.07504932468106651,8
leisure,car_passenger,2.5,4.0,0,leisure_gastronomy,0.08818140329456366,18
leisure,car_passenger,2.5,4.0,0,leisure_misc,0.29030222387554805,41
leisure,car_passenger,2.5,4.0,0,leisure_outdoor,0.07620819854971002,12
leisure,car_passenger,2.5,4.0,0,leisure_sports,0.2385774765486854,49
leisure,car_passenger,2.5,4.0,0,leisure_visit,0.23168137305042635,39
leisure,car_passenger,4.0,8.0,0,leisure_culture,0.015064589311638548,4
leisure,car_passenger,4.0,8.0,0,leisure_gastronomy,0.15252346994469043,34
leisure,car_passenger,4.0,8.0,0,leisure_misc,0.2210210177559788,47
leisure,car_passenger,4.0,8.0,0,leisure_outdoor,0.07625763591866735,16
leisure,car_passenger,4.0,8.0,0,leisure_sports,0.2914831003421357,63
leisure,car_passenger,4.0,8.0,0,leisure_visit,0.24365018672688912,47
leisure,car_passenger,8.0,inf,0,leisure_culture,0.04116139929277925,12
leisure,car_passenger,8.0,inf,0,leisure_gastronomy,0.1345771570115896,36
leisure,car_passenger,8.0,inf,0,leisure_misc,0.24888365276578736,63
leisure,car_passenger,8.0,inf,0,leisure_outdoor,0.05609805392757458,13
leisure,car_passenger,8.0,inf,0,leisure_sports,0.2324756574614033,52
leisure,car_passenger,8.0,inf,0,leisure_visit,0.28680407954086595,75
leisure,pt,1.5,2.5,0,leisure_culture,0.12212927209831433,4
leisure,pt,1.5,2.5,0,leisure_gastronomy,0.11590156822843842,5
leisure,pt,1.5,2.5,0,leisure_misc,0.09652501248070698,4
leisure,pt,1.5,2.5,0,leisure_outdoor,0.023319975021862168,1
leisure,pt,1.5,2.5,0,leisure_sports,0.16661654550576133,6
leisure,pt,1.5,2.5,0,leisure_visit,0.47550762666491664,18
leisure,pt,2.5,4.0,0,leisure_culture,0.03567753321104038,2
leisure,pt,2.5,4.0,0,leisure_gastronomy,0.21338595145778655,7
leisure,pt,2.5,4.0,0,leisure_misc,0.3536623438864583,9
leisure,pt,2.5,4.0,0,leisure_outdoor,0.051799225997016834,2
leisure,pt,2.5,4.0,0,leisure_sports,0.31751946668410574,9
leisure,pt,2.5,4.0,0,leisure_visit,0.027955478763592168,3
leisure,pt,4.0,8.0,0,leisure_culture,0.16231401889124097,3
leisure,pt,4.0,8.0,0,leisure_gastronomy,0.2576490082793507,10
leisure,pt,4.0,8.0,0,leisure_misc,0.14897573252728974,11
leisure,pt,4.0,8.0,0,leisure_outdoor,0.04554843145051911,6
leisure,pt,4.0,8.0,0,leisure_sports,0.2252899062769035,12
leisure,pt,4.0,8.0,0,leisure_visit,0.16022290257469585,9
leisure,pt,8.0,inf,0,leisure_culture,0.03221120316730629,3
leisure,pt,8.0,inf,0,leisure_gastronomy,0.09402633647716363,8
leisure,pt,8.0,inf,0,leisure_misc,0.19317424539754086,11
leisure,pt,8.0,inf,0,leisure_outdoor,0.003749598785389006,1
leisure,pt,8.0,inf,0,leisure_sports,0.3665096849481348,14
leisure,pt,8.0,inf,0,leisure_visit,0.3103289312244655,19
leisure,walk,0.0,0.5,0,leisure_culture,0.020530045500225476,21
leisure,walk,0.0,0.5,0,leisure_gastronomy,0.17822315915529538,188
leisure,walk,0.0,0.5,0,leisure_misc,0.13971090708895362,156
leisure,walk,0.0,0.5,0,leisure_outdoor,0.3851712535039267,427
leisure,walk,0.0,0.5,0,leisure_sports,0.0839499661869154,89
leisure,walk,0.0,0.5,0,leisure_visit,0.19241466856468348,170
leisure,walk,0.5,1.0,0,leisure_culture,0.01973707821691382,18
leisure,walk,0.5,1.0,0,leisure_gastronomy,0.10819641379305367,81
leisure,walk,0.5,1.0,0,leisure_misc,0.137354515865251,104
leisure,walk,0.5,1.0,0,leisure_outdoor,0.5323330404705777,382
leisure,walk,0.5,1.0,0,leisure_sports,0.07265527172034024,48
leisure,walk,0.5,1.0,0,leisure_visit,0.12972367993386352,77
leisure,walk,1.0,1.5,0,leisure_culture,0.01098882218880177,3
leisure,walk,1.0,1.5,0,leisure_gastronomy,0.09198471219573165,28
leisure,walk,1.0,1.5,0,leisure_misc,0.08725531189410421,27
leisure,walk,1.0,1.5,0,leisure_outdoor,0.7011312500527489,217
leisure,walk,1.0,1.5,0,leisure_sports,0.03995241418113246,11
leisure,walk,1.0,1.5,0,leisure_visit,0.06868748948748113,21
leisure,walk,1.5,2.5,0,leisure_culture,0.007153427170253655,1
leisure,walk,1.5,2.5,0,leisure_gastronomy,0.0907962473413747,11
leisure,walk,1.5,2.5,0,leisure_misc,0.10705177707935334,29
leisure,walk,1.5,2.5,0,leisure_outdoor,0.6763156411250799,176
leisure,walk,1.5,2.5,0,leisure_sports,0.040844262157206934,9
leisure,walk,1.5,2.5,0,leisure_visit,0.07783864512673125,11
leisure,walk,2.5,4.0,0,leisure_culture,0.0023703845236396457,1
leisure,walk,2.5,4.0,0,leisure_misc,0.06269687774610075,7
leisure,walk,2.5,4.0,0,leisure_outdoor,0.9124788399602011,88
leisure,walk,2.5,4.0,0,leisure_sports,0.004671868379799243,1
leisure,walk,2.5,4.0,0,leisure_visit,0.017782029390259354,3
leisure,walk,4.0,8.0,0,leisure_gastronomy,0.02813323995519757,1
leisure,walk,4.0,8.0,0,leisure_misc,0.17287430407726753,8
leisure,walk,4.0,8.0,0,leisure_outdoor,0.6995640849622691,22
leisure,walk,4.0,8.0,0,leisure_visit,0.09942837100526573,3
other,bicycle,0.0,0.5,0,errand_authority_medical,0.20068334143564212,8
other,bicycle,0.0,0.5,0,errand_service,0.6369514904680367,27
other,bicycle,0.0,0.5,0,other_misc,0.16236516809632118,8
other,bicycle,0.5,1.0,0,errand_authority_medical,0.34252140854708496,29
other,bicycle,0.5,1.0,0,errand_service,0.47585760990623815,50
other,bicycle,0.5,1.0,0,other_misc,0.18162098154667686,20
other,bicycle,1.0,1.5,0,errand_authority_medical,0.46932322206533816,22
other,bicycle,1.0,1.5,0,errand_service,0.31250456430341944,17
other,bicycle,1.0,1.5,0,other_misc,0.21817221363124237,10
other,bicycle,1.5,2.5,0,errand_authority_medical,0.5109069919972288,42
other,bicycle,1.5,2.5,0,errand_service,0.36160525580965136,28
other,bicycle,1.5,2.5,0,other_misc,0.12748775219311984,15
other,bicycle,2.5,4.0,0,errand_authority_medical,0.5135003674800468,19
other,bicycle,2.5,4.0,0,errand_service,0.36379676820709866,16
other,bicycle,2.5,4.0,0,other_misc,0.12270286431285461,6
other,car,0.0,0.5,0,errand_authority_medical,0.12579333562425812,10
other,car,0.0,0.5,0,errand_service,0.6594903597946291,44
other,car,0.0,0.5,0,other_misc,0.21471630458111263,17
other,car,0.5,1.0,0,errand_authority_medical,0.40338132275656463,40
other,car,0.5,1.0,0,errand_service,0.48649414414718095,55
other,car,0.5,1.0,0,other_misc,0.11012453309625453,13
other,car,1.0,1.5,0,errand_authority_medical,0.42335412221004287,46
other,car,1.0,1.5,0,errand_service,0.45865697239017394,59
other,car,1.0,1.5,0,other_misc,0.11798890539978328,12
other,car,1.5,2.5,0,errand_authority_medical,0.40536232640681075,96
other,car,1.5,2.5,0,errand_service,0.5047073940230401,102
other,car,1.5,2.5,0,other_misc,0.08993027957014912,16
other,car,2.5,4.0,0,errand_authority_medical,0.41369902730792735,109
other,car,2.5,4.0,0,errand_service,0.4305754820311059,106
other,car,2.5,4.0,0,other_misc,0.15572549066096672,26
other,car,4.0,8.0,0,errand_authority_medical,0.5144630035609604,180
other,car,4.0,8.0,0,errand_service,0.39080460775014747,124
other,car,4.0,8.0,0,other_misc,0.09473238868889187,38
other,car,8.0,inf,0,errand_authority_medical,0.576575956504347,290
other,car,8.0,inf,0,errand_service,0.23649968231467905,105
other,car,8.0,inf,0,other_misc,0.1869243611809741,66
other,car_passenger,1.5,2.5,0,errand_authority_medical,0.49674890971033575,29
other,car_passenger,1.5,2.5,0,errand_service,0.3759458398089883,24
other,car_passenger,1.5,2.5,0,other_misc,0.1273052504806759,9
other,car_passenger,2.5,4.0,0,errand_authority_medical,0.5855366101061563,40
other,car_passenger,2.5,4.0,0,errand_service,0.2578566232759556,19
other,car_passenger,2.5,4.0,0,other_misc,0.15660676661788792,11
other,car_passenger,4.0,8.0,0,errand_authority_medical,0.5702143852026444,57
other,car_passenger,4.0,8.0,0,errand_service,0.22124448332131613,23
other,car_passenger,4.0,8.0,0,other_misc,0.20854113147603945,19
other,car_passenger,8.0,inf,0,errand_authority_medical,0.7217623764158225,110
other,car_passenger,8.0,inf,0,errand_service,0.15976921851965667,26
other,car_passenger,8.0,inf,0,other_misc,0.11846840506452101,18
other,pt,8.0,inf,0,errand_authority_medical,0.5000788611370454,32
other,pt,8.0,inf,0,errand_service,0.1803897074753164,10
other,pt,8.0,inf,0,other_misc,0.31953143138763807,16
other,walk,0.0,0.5,0,errand_authority_medical,0.26566491043228074,116
other,walk,0.0,0.5,0,errand_service,0.4648694629913231,196
other,walk,0.0,0.5,0,other_misc,0.26946562657639633,115
other,walk,0.5,1.0,0,errand_authority_medical,0.4396218346435028,77
other,walk,0.5,1.0,0,errand_service,0.35265908910850613,63
other,walk,0.5,1.0,0,other_misc,0.20771907624799119,45
other,walk,1.0,1.5,0,errand_authority_medical,0.5467679442546658,22
other,walk,1.0,1.5,0,errand_service,0.28794915613616906,13
other,walk,1.0,1.5,0,other_misc,0.16528289960916537,9
