code,scope,distance_class,n_workers,share
03158,external,25_50,145,0.04830113257828115
03158,external,50_100,1464,0.4876748834110593
03158,external,100_200,353,0.11758827448367755
03158,external,gt200,1032,0.34377081945369753
03158,internal,lt10,10310,0.351601132217031
03158,internal,10_25,11130,0.37956552876581523
03158,internal,25_50,7222,0.24629130716502404
03158,internal,50_100,659,0.02247382600688879
03158,internal,100_200,2,6.820584524093715e-05
03158,internal,gt200,0,0.0
03158,unresolved,lt10,0,
03158,unresolved,10_25,0,
03158,unresolved,25_50,0,
03158,unresolved,50_100,0,
03158,unresolved,100_200,0,
03158,unresolved,gt200,0,
zgb,all,lt10,141352,0.4636011807149885
zgb,all,10_25,71528,0.23459494916366022
zgb,all,25_50,54311,0.17812725483765168
zgb,all,50_100,21515,0.0705641193834044
zgb,all,100_200,5235,0.01716956379140702
zgb,all,gt200,10959,0.03594293210888816
zgb,external,lt10,27,0.000689655172413793
zgb,external,10_25,689,0.017598978288633462
zgb,external,25_50,6583,0.16814814814814816
zgb,external,50_100,15700,0.40102171136653897
zgb,external,100_200,5192,0.13261813537675607
zgb,external,gt200,10959,0.2799233716475096
zgb,internal,lt10,141325,0.531796801505174
zgb,internal,10_25,70839,0.26656255879586077
zgb,internal,25_50,47728,0.17959736594543743
zgb,internal,50_100,5815,0.021881467544684854
zgb,internal,100_200,43,0.00016180620884289747
zgb,internal,gt200,0,0.0
zgb,unresolved,lt10,0,
zgb,unresolved,10_25,0,
zgb,unresolved,25_50,0,
zgb,unresolved,50_100,0,
zgb,unresolved,100_200,0,
zgb,unresolved,gt200,0,
