# VRB Preisstufenmatrix, official PDF printed 'Stand 01.01.2022', 48 zones, directional cells.
# Source: https://www.vrb-online.de/de/service/downloads?file=files/media/service/downloads/tarifinformationen/vrb-preisstufenmatrix.pdf&cid=658
# Source PDF SHA-256: 175c58b14f2c9e94029644fa7a8a0a036af8fa438c5cb6bc4145409b99efa7e6 (publisher Verkehrsverbund Region Braunschweig GmbH).
# Parsed on the parked branch codex/regional-pt-fares by scripts/export_vrb_price_stage_matrix.py (commit 238359cd).
# ASSUMPTION (ADR-0133): the 2022 matrix is applied to the 2026 scenario; VRB still publishes 48 zones in 2026 and
# three current-selector spot checks (40-70 = 2, 40-20 = 3, 40-40 = ST) agreed on 2026-09-23. price_stage: ST = city tariff,
# 1..4 = Preisstufe, '-' = undefined in the source (status undefined). Zones 55/56 = Haemelerwald/Dedenhausen stations.
origin_zone,destination_zone,price_stage,status
32,72,3,defined
32,73,3,defined
32,74,4,defined
32,75,4,defined
32,76,4,defined
32,77,4,defined
32,78,4,defined
32,79,4,defined
32,80,4,defined
32,81,4,defined
32,82,4,defined
32,83,4,defined
32,84,4,defined
32,85,4,defined
32,86,4,defined
32,87,4,defined
32,88,4,defined
32,89,4,defined
32,90,4,defined
33,10,4,defined
33,11,4,defined
33,12,4,defined
33,13,4,defined
33,14,4,defined
33,15,4,defined
33,16,4,defined
33,17,4,defined
33,20,4,defined
33,30,3,defined
33,31,3,defined
33,32,2,defined
33,33,1,defined
33,34,2,defined
33,35,3,defined
33,36,4,defined
33,37,4,defined
33,38,4,defined
33,40,4,defined
33,50,4,defined
33,51,4,defined
33,52,4,defined
33,53,4,defined
33,54,4,defined
33,55,4,defined
33,56,4,defined
33,60,4,defined
33,70,4,defined
33,71,3,defined
33,72,3,defined
33,73,2,defined
33,74,3,defined
33,75,4,defined
33,76,4,defined
33,77,4,defined
33,78,4,defined
33,79,4,defined
33,80,4,defined
33,81,4,defined
33,82,4,defined
33,83,4,defined
33,84,4,defined
33,85,4,defined
33,86,4,defined
33,87,4,defined
33,88,4,defined
33,89,4,defined
33,90,4,defined
34,10,4,defined
34,11,4,defined
34,12,4,defined
34,13,4,defined
34,14,4,defined
34,15,4,defined
34,16,4,defined
34,17,4,defined
34,20,3,defined
34,30,3,defined
34,31,2,defined
34,32,2,defined
34,33,2,defined
34,34,1,defined
34,35,2,defined
34,36,3,defined
34,37,3,defined
34,38,3,defined
34,40,3,defined
34,50,4,defined
34,51,4,defined
34,52,4,defined
34,53,4,defined
34,54,4,defined
34,55,4,defined
34,56,4,defined
34,60,4,defined
34,70,3,defined
34,71,2,defined
34,72,2,defined
34,73,2,defined
34,74,3,defined
34,75,4,defined
34,76,4,defined
34,77,4,defined
34,78,4,defined
34,79,4,defined
34,80,4,defined
34,81,4,defined
34,82,4,defined
34,83,4,defined
34,84,4,defined
34,85,4,defined
34,86,4,defined
34,87,4,defined
34,88,4,defined
34,89,4,defined
34,90,4,defined
35,10,4,defined
35,11,4,defined
35,12,4,defined
35,13,4,defined
35,14,3,defined
35,15,3,defined
35,16,3,defined
35,17,4,defined
35,20,2,defined
35,30,3,defined
35,31,2,defined
35,32,3,defined
35,33,3,defined
35,34,2,defined
35,35,1,defined
35,36,2,defined
35,37,2,defined
35,38,2,defined
35,40,3,defined
35,50,4,defined
35,51,4,defined
35,52,4,defined
35,53,4,defined
35,54,4,defined
35,55,4,defined
35,56,4,defined
35,60,4,defined
35,70,4,defined
35,71,2,defined
35,72,3,defined
35,73,3,defined
35,74,4,defined
35,75,4,defined
35,76,4,defined
35,77,4,defined
35,78,4,defined
35,79,4,defined
35,80,4,defined
35,81,4,defined
35,82,4,defined
35,83,4,defined
35,84,4,defined
35,85,4,defined
35,86,4,defined
35,87,4,defined
35,88,4,defined
35,89,4,defined
35,90,4,defined
36,10,3,defined
36,11,4,defined
36,12,4,defined
36,13,4,defined
36,14,3,defined
36,15,3,defined
36,16,2,defined
36,17,3,defined
36,20,2,defined
36,30,4,defined
36,31,3,defined
36,32,4,defined
36,33,4,defined
36,34,3,defined
36,35,2,defined
36,36,1,defined
36,37,3,defined
36,38,3,defined
36,40,2,defined
36,50,4,defined
36,51,3,defined
36,52,3,defined
36,53,3,defined
36,54,4,defined
36,55,4,defined
36,56,4,defined
36,60,3,defined
36,70,3,defined
36,71,2,defined
36,72,3,defined
36,73,4,defined
36,74,4,defined
36,75,4,defined
36,76,4,defined
36,77,4,defined
36,78,4,defined
36,79,4,defined
36,80,4,defined
36,81,4,defined
36,82,4,defined
36,83,4,defined
36,84,4,defined
36,85,4,defined
36,86,4,defined
36,87,4,defined
36,88,4,defined
36,89,4,defined
36,90,4,defined
37,10,4,defined
37,11,4,defined
37,12,4,defined
37,13,4,defined
37,14,3,defined
37,15,3,defined
37,16,3,defined
37,17,4,defined
37,20,2,defined
37,30,3,defined
37,31,3,defined
37,32,4,defined
37,33,4,defined
37,34,3,defined
37,35,2,defined
37,36,3,defined
37,37,1,defined
37,38,2,defined
37,40,4,defined
37,50,4,defined
37,51,4,defined
37,52,4,defined
37,53,4,defined
37,54,4,defined
37,55,4,defined
37,56,4,defined
37,60,4,defined
37,70,4,defined
37,71,3,defined
37,72,4,defined
37,73,4,defined
37,74,4,defined
37,75,4,defined
37,76,4,defined
37,77,4,defined
37,78,4,defined
37,79,4,defined
37,80,4,defined
37,81,4,defined
37,82,4,defined
37,83,4,defined
37,84,4,defined
37,85,4,defined
37,86,4,defined
37,87,4,defined
37,88,4,defined
37,89,4,defined
37,90,4,defined
38,10,4,defined
38,11,4,defined
38,12,4,defined
38,13,4,defined
38,14,4,defined
38,15,4,defined
38,16,4,defined
38,17,4,defined
38,20,3,defined
38,30,2,defined
38,31,2,defined
38,32,3,defined
38,33,4,defined
38,34,3,defined
38,35,2,defined
38,36,3,defined
38,37,2,defined
38,38,1,defined
38,40,4,defined
38,50,4,defined
38,51,4,defined
38,52,4,defined
38,53,4,defined
38,54,4,defined
38,55,4,defined
38,56,4,defined
38,60,4,defined
38,70,4,defined
38,71,3,defined
38,72,4,defined
38,73,4,defined
38,74,4,defined
38,75,4,defined
38,76,4,defined
38,77,4,defined
38,78,4,defined
38,79,4,defined
38,80,4,defined
38,81,4,defined
38,82,4,defined
38,83,4,defined
38,84,4,defined
38,85,4,defined
38,86,4,defined
38,87,4,defined
38,88,4,defined
38,89,4,defined
38,90,4,defined
40,10,3,defined
40,11,4,defined
40,12,4,defined
40,13,4,defined
40,14,4,defined
40,15,4,defined
40,16,2,defined
40,17,3,defined
40,20,3,defined
40,30,4,defined
40,31,4,defined
40,32,4,defined
40,33,4,defined
40,34,3,defined
40,35,3,defined
40,36,2,defined
40,37,4,defined
40,38,4,defined
40,40,ST,defined
40,50,3,defined
40,51,3,defined
40,52,2,defined
40,53,2,defined
40,54,4,defined
40,55,4,defined
40,56,4,defined
40,60,2,defined
40,70,2,defined
40,71,2,defined
40,72,2,defined
40,73,3,defined
40,74,3,defined
40,75,3,defined
40,76,4,defined
40,77,3,defined
40,78,3,defined
40,79,3,defined
40,80,4,defined
40,81,4,defined
40,82,3,defined
40,83,3,defined
40,84,4,defined
40,85,4,defined
40,86,4,defined
40,87,4,defined
