;;;;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.;Benutztes Verkehrsmittel f.d. Hinweg z. Arbeitsst.
;;;;Bus;Bus;U-Bahn, Straßenbahn;U-Bahn, Straßenbahn;Eisenbahn, S-Bahn;Eisenbahn, S-Bahn;Pkw (Selbstfahrer);Pkw (Selbstfahrer);Pkw (Mitfahrer);Pkw (Mitfahrer);Motorrad, Motorroller, Moped, Mofa;Motorrad, Motorroller, Moped, Mofa;Fahrrad;Fahrrad;Elektrofahrrad / Pedelec;Elektrofahrrad / Pedelec;Sonstige Verkehrsmittel;Sonstige Verkehrsmittel;Kein Verkehrsmittel (zu Fuß);Kein Verkehrsmittel (zu Fuß);Insgesamt;Insgesamt
2024;Berlin;männlich;Beamte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;38;e
2024;Berlin;männlich;Arbeiter und Angestellte;56;e;151;e;97;e;193;e;/;;/;;96;e;/;;/;;32;();771;e
2024;Berlin;männlich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;27;()
2024;Berlin;männlich;Insgesamt;66;e;184;e;111;e;256;e;/;;/;;118;e;/;;/;;40;e;983;e
2024;Berlin;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;63;e
2024;Berlin;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Berlin;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Berlin;weiblich;Beamte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;33;()
2024;Berlin;weiblich;Arbeiter und Angestellte;88;e;187;e;92;e;141;e;/;;/;;90;e;/;;/;;41;e;750;e
2024;Berlin;weiblich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;24;()
2024;Berlin;weiblich;Insgesamt;98;e;214;e;104;e;168;e;/;;/;;107;e;/;;/;;53;e;888;e
2024;Berlin;Insgesamt;Selbstständige ohne Beschäftigte;/;;/;;/;;31;();/;;/;;/;;/;;/;;/;;154;e
2024;Berlin;Insgesamt;Selbstständige mit Beschäftigten;/;;/;;/;;34;();/;;/;;/;;/;;/;;/;;73;e
2024;Berlin;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Berlin;Insgesamt;Beamte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;71;e
2024;Berlin;Insgesamt;Arbeiter und Angestellte;144;e;338;e;189;e;334;e;/;;/;;186;e;/;;/;;73;e;1520;e
2024;Berlin;Insgesamt;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;50;e
2024;Berlin;Insgesamt;Insgesamt;164;e;398;e;215;e;424;e;27;();/;;225;e;/;;/;;93;e;1871;e
2024;Brandenburg;männlich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;33;()
2024;Brandenburg;männlich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;42;e
2024;Brandenburg;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;männlich;Beamte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;36;()
2024;Brandenburg;männlich;Arbeiter und Angestellte;/;;/;;35;();319;e;/;;/;;53;e;/;;/;;/;;525;e
2024;Brandenburg;männlich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;männlich;Insgesamt;/;;/;;45;e;387;e;/;;/;;60;e;/;;/;;30;();660;e
2024;Brandenburg;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;27;()
2024;Brandenburg;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;weiblich;Beamte;/;;/;;/;;26;();/;;/;;/;;/;;/;;/;;35;()
2024;Brandenburg;weiblich;Arbeiter und Angestellte;/;;/;;39;();266;e;/;;/;;56;e;/;;/;;33;();490;e
2024;Brandenburg;weiblich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;weiblich;Insgesamt;23;();/;;45;e;312;e;/;;/;;65;e;/;;/;;41;e;584;e
2024;Brandenburg;Insgesamt;Selbstständige ohne Beschäftigte;/;;/;;/;;23;();/;;/;;/;;/;;/;;/;;60;e
2024;Brandenburg;Insgesamt;Selbstständige mit Beschäftigten;/;;/;;/;;29;();/;;/;;/;;/;;/;;/;;53;e
2024;Brandenburg;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;Insgesamt;Beamte;/;;/;;/;;49;e;/;;/;;/;;/;;/;;/;;72;e
2024;Brandenburg;Insgesamt;Arbeiter und Angestellte;31;();/;;74;e;585;e;/;;/;;109;e;/;;/;;55;e;1016;e
2024;Brandenburg;Insgesamt;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;44;e
2024;Brandenburg;Insgesamt;Insgesamt;38;();/;;90;e;698;e;31;();/;;125;e;/;;/;;71;e;1244;e
2024;Bremen;männlich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bremen;männlich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bremen;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bremen;männlich;Beamte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bremen;männlich;Arbeiter und Angestellte;14;();/;;/;;66;e;/;;/;;26;e;/;;/;;/;;150;e
2024;Bremen;männlich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bremen;männlich;Insgesamt;16;();/;;/;;78;e;/;;/;;32;e;/;;/;;/;;181;e
2024;Bremen;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bremen;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bremen;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bremen;weiblich;Beamte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bremen;weiblich;Arbeiter und Angestellte;18;();14;();/;;45;e;/;;/;;22;e;/;;/;;/;;131;e
2024;Bremen;weiblich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bremen;weiblich;Insgesamt;20;e;15;();/;;52;e;/;;/;;27;e;/;;/;;11;();154;e
2024;Bremen;Insgesamt;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;11;()
2024;Bremen;Insgesamt;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;11;()
2024;Bremen;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bremen;Insgesamt;Beamte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;17;()
2024;Bremen;Insgesamt;Arbeiter und Angestellte;32;e;22;e;14;();111;e;/;;/;;49;e;/;;/;;15;();281;e
2024;Bremen;Insgesamt;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;13;()
2024;Bremen;Insgesamt;Insgesamt;36;e;25;e;15;();130;e;/;;/;;60;e;/;;/;;18;();335;e
2024;Hamburg;männlich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;30;()
2024;Hamburg;männlich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;25;()
2024;Hamburg;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Hamburg;männlich;Beamte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Hamburg;männlich;Arbeiter und Angestellte;61;e;78;e;27;();145;e;/;;/;;43;e;/;;/;;/;;423;e
2024;Hamburg;männlich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Hamburg;männlich;Insgesamt;73;e;85;e;31;();175;e;/;;/;;54;e;/;;/;;/;;510;e
2024;Hamburg;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;27;()
2024;Hamburg;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Hamburg;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Hamburg;weiblich;Beamte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;25;()
2024;Hamburg;weiblich;Arbeiter und Angestellte;80;e;78;e;29;();100;e;/;;/;;37;e;/;;/;;25;();398;e
2024;Hamburg;weiblich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Hamburg;weiblich;Insgesamt;88;e;85;e;33;();120;e;/;;/;;48;e;/;;/;;31;();471;e
2024;Hamburg;Insgesamt;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;56;e
2024;Hamburg;Insgesamt;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;32;()
2024;Hamburg;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Hamburg;Insgesamt;Beamte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;40;e
2024;Hamburg;Insgesamt;Arbeiter und Angestellte;141;e;157;e;56;e;245;e;/;;/;;80;e;/;;/;;41;e;822;e
2024;Hamburg;Insgesamt;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;29;()
2024;Hamburg;Insgesamt;Insgesamt;161;e;170;e;64;e;295;e;/;;/;;102;e;/;;/;;51;e;981;e
2024;Hessen;männlich;Selbstständige ohne Beschäftigte;/;;/;;/;;28;();/;;/;;/;;/;;/;;/;;94;e
2024;Hessen;männlich;Selbstständige mit Beschäftigten;/;;/;;/;;46;e;/;;/;;/;;/;;/;;/;;94;e
2024;Hessen;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Hessen;männlich;Beamte;/;;/;;/;;46;e;/;;/;;/;;/;;/;;/;;73;e
2024;Hessen;männlich;Arbeiter und Angestellte;62;e;60;e;77;e;809;e;33;e;/;;76;e;/;;/;;87;e;1375;e
2024;Hessen;männlich;Auszubildende;/;;/;;/;;26;();/;;/;;/;;/;;/;;/;;62;e
2024;Hessen;männlich;Insgesamt;72;e;69;e;92;e;957;e;44;e;/;;92;e;/;;22;();122;e;1701;e
2024;Hessen;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;57;e
2024;Hessen;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;33;e
2024;Hessen;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;;/;
2024;Hessen;weiblich;Beamte;/;;/;;/;;55;e;/;;/;;/;;/;;/;;/;;79;e
2024;Hessen;weiblich;Arbeiter und Angestellte;84;e;69;e;60;e;723;e;31;();/;;68;e;/;;/;;112;e;1274;e
