Tabelle: 12251-0106
Erwerbstätige aus Hauptwohnsitzhaushalten: Bundesländer,;;;;;;;;;;;
Jahre, Geschlecht, Stellung im Beruf, Entfernung zur;;;;;;;;;;;
Arbeitsstätte;;;;;;;;;;;
Arbeitsmarktstatistik des Mikrozensus;;;;;;;;;;;;;;;;;;;
Erwerbstätige aus Hauptwohnsitzhaushalten (1000);;;;;;;;;;;;;;;;;;;
;;;;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte
;;;;Unter 5 km;Unter 5 km;5 bis unter 10 km;5 bis unter 10 km;10 bis unter 25 km;10 bis unter 25 km;25 bis unter 50 km;25 bis unter 50 km;50 km und mehr;50 km und mehr;Gleiches Grundstück;Gleiches Grundstück;Ständig wechselnde Arbeitsstätte;Ständig wechselnde Arbeitsstätte;Insgesamt;Insgesamt
2024;Berlin;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Berlin;Insgesamt;Beamte;/;;26;();25;();/;;/;;/;;/;;71;e
2024;Berlin;Insgesamt;Arbeiter und Angestellte;306;e;467;e;410;e;92;e;28;();/;;30;();1520;e
2024;Berlin;Insgesamt;Auszubildende;/;;/;;/;;/;;/;;/;;/;;50;e
2024;Berlin;Insgesamt;Insgesamt;375;e;548;e;474;e;107;e;34;e;/;;63;e;1871;e
2024;Brandenburg;männlich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;33;()
2024;Brandenburg;männlich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;42;e
2024;Brandenburg;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;männlich;Beamte;/;;/;;/;;/;;/;;/;;/;;36;()
2024;Brandenburg;männlich;Arbeiter und Angestellte;104;e;81;e;126;e;108;e;42;e;/;;/;;525;e
2024;Brandenburg;männlich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;männlich;Insgesamt;126;e;96;e;149;e;135;e;51;e;/;;28;();660;e
2024;Brandenburg;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;27;()
2024;Brandenburg;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;weiblich;Beamte;/;;/;;/;;/;;/;;/;;/;;35;()
2024;Brandenburg;weiblich;Arbeiter und Angestellte;142;e;80;e;115;e;88;e;/;;/;;/;;490;e
2024;Brandenburg;weiblich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;weiblich;Insgesamt;162;e;96;e;140;e;102;e;/;;/;;/;;584;e
2024;Brandenburg;Insgesamt;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;60;e
2024;Brandenburg;Insgesamt;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;53;e
2024;Brandenburg;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Brandenburg;Insgesamt;Beamte;/;;/;;/;;24;();/;;/;;/;;72;e
2024;Brandenburg;Insgesamt;Arbeiter und Angestellte;246;e;160;e;241;e;196;e;62;e;/;;/;;1016;e
2024;Brandenburg;Insgesamt;Auszubildende;/;;/;;/;;/;;/;;/;;/;;44;e
2024;Brandenburg;Insgesamt;Insgesamt;288;e;192;e;289;e;237;e;74;e;/;;32;();1244;e
2024;Bremen;männlich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bremen;männlich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bremen;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bremen;männlich;Beamte;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bremen;männlich;Arbeiter und Angestellte;33;e;45;e;36;e;14;();/;;/;;/;;150;e
2024;Bremen;männlich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bremen;männlich;Insgesamt;42;e;52;e;40;e;18;();/;;/;;/;;181;e
2024;Bremen;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bremen;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bremen;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bremen;weiblich;Beamte;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bremen;weiblich;Arbeiter und Angestellte;42;e;41;e;26;e;/;;/;;/;;/;;131;e
2024;Bremen;weiblich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bremen;weiblich;Insgesamt;49;e;48;e;29;e;/;;/;;/;;/;;154;e
2024;Bremen;Insgesamt;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;11;()
2024;Bremen;Insgesamt;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;11;()
2024;Bremen;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Bremen;Insgesamt;Beamte;/;;/;;/;;/;;/;;/;;/;;17;()
2024;Bremen;Insgesamt;Arbeiter und Angestellte;75;e;86;e;62;e;23;e;/;;/;;/;;281;e
2024;Bremen;Insgesamt;Auszubildende;/;;/;;/;;/;;/;;/;;/;;13;()
2024;Bremen;Insgesamt;Insgesamt;91;e;100;e;70;e;28;e;12;();/;;/;;335;e
2024;Hamburg;männlich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;30;()
2024;Hamburg;männlich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;25;()
2024;Hamburg;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Hamburg;männlich;Beamte;/;;/;;/;;/;;/;;/;;/;;/;
2024;Hamburg;männlich;Arbeiter und Angestellte;74;e;134;e;128;e;29;();/;;/;;/;;423;e
2024;Hamburg;männlich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;
2024;Hamburg;männlich;Insgesamt;93;e;156;e;144;e;33;();/;;/;;23;();510;e
2024;Hamburg;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;27;()
2024;Hamburg;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;/;
2024;Hamburg;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Hamburg;weiblich;Beamte;/;;/;;/;;/;;/;;/;;/;;25;()
2024;Hamburg;weiblich;Arbeiter und Angestellte;88;e;147;e;108;e;/;;/;;/;;/;;398;e
2024;Hamburg;weiblich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;
2024;Hamburg;weiblich;Insgesamt;110;e;168;e;121;e;/;;/;;/;;/;;471;e
2024;Hamburg;Insgesamt;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;56;e
2024;Hamburg;Insgesamt;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;32;()
2024;Hamburg;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Hamburg;Insgesamt;Beamte;/;;/;;/;;/;;/;;/;;/;;40;e
2024;Hamburg;Insgesamt;Arbeiter und Angestellte;163;e;281;e;236;e;44;e;/;;/;;22;();822;e
2024;Hamburg;Insgesamt;Auszubildende;/;;/;;/;;/;;/;;/;;/;;29;()
2024;Hamburg;Insgesamt;Insgesamt;203;e;324;e;265;e;49;e;/;;/;;30;();981;e
2024;Hessen;männlich;Selbstständige ohne Beschäftigte;22;();/;;/;;/;;/;;/;;/;;94;e
2024;Hessen;männlich;Selbstständige mit Beschäftigten;34;e;/;;/;;/;;/;;/;;/;;94;e
2024;Hessen;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Hessen;männlich;Beamte;/;;/;;21;();/;;/;;/;;/;;73;e
2024;Hessen;männlich;Arbeiter und Angestellte;266;e;229;e;404;e;237;e;90;e;/;;/;;1375;e
2024;Hessen;männlich;Auszubildende;/;;/;;21;();/;;/;;/;;/;;62;e
2024;Hessen;männlich;Insgesamt;348;e;269;e;471;e;277;e;102;e;20;();30;();1701;e
2024;Hessen;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;57;e
2024;Hessen;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;33;e
2024;Hessen;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Hessen;weiblich;Beamte;/;;/;;23;();18;();/;;/;;/;;79;e
2024;Hessen;weiblich;Arbeiter und Angestellte;336;e;266;e;352;e;173;e;46;e;/;;/;;1274;e
2024;Hessen;weiblich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;51;e
2024;Hessen;weiblich;Insgesamt;396;e;299;e;400;e;200;e;54;e;/;;/;;1499;e
2024;Hessen;Insgesamt;Selbstständige ohne Beschäftigte;37;e;/;;/;;/;;/;;/;;/;;152;e
2024;Hessen;Insgesamt;Selbstständige mit Beschäftigten;47;e;/;;20;();/;;/;;/;;/;;127;e
2024;Hessen;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
