# Per-source-Kreis one-seat-to-ZGB PT entry stops (rail+bus), EPSG:25832. Generated by scripts/extract_incommuter_pt_entry_stops.py from the cordon transit schedule.
source_ars5,stop_id,x,y
03159,589329.link:76271,564217.7788095042,5709898.889936689
03159,58953.link:610865,582039.3792807613,5739048.51029633
03159,597045.link:333435,595003.3334718181,5734450.061227722
03159,597045.link:333436,595003.3334718181,5734450.061227722
03159,602592.link:pt_602592,589544.5208362461,5734712.016531768
03159,603336.link:113491,601482.6203987054,5720598.486905088
03159,604755.link:142476,586523.7316171745,5731638.01374718
03159,605460.link:329692,587523.3430394719,5732492.616835188
03159,605460.link:329693,587523.3430394719,5732492.616835188
03159,614171.link:362932,584703.3066039796,5740046.054475482
03159,616472.link:873020,592179.001934154,5722880.792079801
03159,617660.link:916448,585666.0759723549,5732078.01483615
03159,617660.link:916449,585666.0759723549,5732078.01483615
03159,624583.link:916444,585319.2353147663,5732421.768831005
03159,624583.link:916445,585319.2353147663,5732421.768831005
03159,627740.link:885360,583299.0090616437,5735904.57036278
03159,627740.link:885361,583299.0090616437,5735904.57036278
03159,63305.link:412317,596923.4464962782,5720199.675696135
03159,639133.link:147162,587942.2238062738,5730336.526883236
03159,639133.link:147163,587942.2238062738,5730336.526883236
03159,641312.link:28231,586110.8320661725,5731290.534700002
03159,644348.link:412287,598406.0279118362,5719937.161272541
03159,646917.link:158968,587471.2782915069,5729693.12726611
03159,650098.link:147489,584653.5419503872,5737983.855111153
03159,650951.link:329684,587750.2231038915,5732671.885926222
03159,650951.link:329685,587750.2231038915,5732671.885926222
03159,651061.link:240145,607532.721627519,5717213.592271029
03159,65827.link:333447,595266.2586620472,5734465.153003221
03159,65827.link:333448,595266.2586620472,5734465.153003221
03159,666984.link:815270,600190.0198711992,5719881.844912227
03159,670284.link:610843,584317.5916638423,5733164.696858863
03159,670284.link:610844,584317.5916638423,5733164.696858863
03159,672274.link:843981,592755.1186053941,5723669.281675661
03159,672953.link:610866,582053.0984142144,5739032.047744588
03159,68250.link:465348,592020.781579087,5722266.054938296
03159,68250.link:465349,592020.781579087,5722266.054938296
03159,684005.link:21927,595975.986799145,5720443.93275118
03159,686696.link:641630,600652.9496311174,5720000.840006409
03159,686696.link:641631,600652.9496311174,5720000.840006409
03159,7785.link:235824,609027.9788779238,5715766.074461387
03159,7785.link:271523,609027.9788779238,5715766.074461387
03159,7785.link:271524,609027.9788779238,5715766.074461387
03159,82096.link:292726,586751.6314863677,5731433.237251847
03159,82126.link:469617,609532.4114279007,5720451.56180338
03159,82126.link:469618,609532.4114279007,5720451.56180338
03159,85320.link:85459,609963.2478995962,5719452.909245684
03159,85320.link:85462,609963.2478995962,5719452.909245684
03159,863.link:268729,586100.7446996925,5731359.333639751
03159,863.link:842525,586100.7446996925,5731359.333639751
03159,92182.link:39964,582977.6695626721,5738070.505553055
03159,92182.link:39965,582977.6695626721,5738070.505553055
03159,92349.link:234427,609650.3484262236,5721275.315045377
03159,92349.link:234428,609650.3484262236,5721275.315045377
03159,93053.link:412285,597889.9199241883,5719979.991059758
03241,104635.link:748014,555446.3310548135,5800823.54066627
03241,10932.link:350551,575418.9041683214,5799961.449041503
03241,123006.link:701722,556787.6606825293,5801558.881188572
03241,125711.link:671634,558046.1566515065,5801350.396642691
03241,134433.link:130588,566077.9261440778,5796531.860880737
03241,135908.link:354386,556442.1381105715,5801496.397668472
03241,137277.link:639554,552643.0856218202,5801537.54726137
03241,137277.link:639555,552643.0856218202,5801537.54726137
03241,137724.link:664582,561232.3641015488,5800276.531683234
03241,146242.link:826745,564419.5048868882,5798543.030855793
03241,147312.link:752503,568695.005670763,5796614.766898258
03241,150662.link:661960,562077.4315407072,5799357.107404362
03241,158881.link:483512,575907.4577055564,5800428.635155259
03241,16669.link:699828,568357.9422279089,5796678.391128714
03241,175112.link:740671,569765.1196090668,5796778.850474747
03241,178084.link:397569,554312.8752455458,5800797.680191574
03241,179747.link:29760,573797.9759151852,5805120.81997119
03241,179747.link:29761,573797.9759151852,5805120.81997119
03241,184038.link:150151,575659.9749819642,5801043.604734711
03241,184038.link:150152,575659.9749819642,5801043.604734711
03241,188801.link:266427,565801.6334989318,5796585.904929877
03241,189429.link:322759,560217.4242638433,5800553.258221679
03241,191741.link:655138,550442.9587624678,5803202.472546848
03241,191741.link:655139,550442.9587624678,5803202.472546848
03241,206817.link:469483,551406.5846679448,5800849.4899576055
03241,20841.link:936159,563251.6474927139,5799722.116828595
03241,22922.link:31880,550562.4318861372,5802433.699616313
03241,235286.link:664580,560565.7488581655,5800495.2305737045
03241,244561.link:639544,568145.9440622604,5796770.017806329
03241,247825.link:126747,552963.3258548237,5801630.416464986
03241,249168.link:179090,571490.9606545104,5795849.384148792
03241,25083.link:126097,580363.7472026563,5808093.465131265
03241,25083.link:126098,580363.7472026563,5808093.465131265
03241,251852.link:551752,556335.3726131539,5800934.519815351
03241,264049.link:781073,550342.6100706407,5802816.335350876
03241,268768.link:302160,558835.3925631762,5801298.241018358
03241,269684.link:624851,571468.1713736176,5796956.744775375
03241,273565.link:789658,575638.0920539702,5801071.303908719
03241,273565.link:789659,575638.0920539702,5801071.303908719
03241,275952.link:158741,550438.1854948407,5803442.478106479
03241,275952.link:158742,550438.1854948407,5803442.478106479
03241,275952.link:925661,550438.1854948407,5803442.478106479
03241,276767.link:148499,566342.856628229,5803386.357926725
03241,276767.link:148500,566342.856628229,5803386.357926725
03241,278794.link:858337,575870.4385560703,5798539.590692164
03241,283339.link:157949,557543.0696684974,5801465.415174072
03241,28961.link:673032,551337.6793893191,5800827.63616789
03241,293826.link:156706,552218.1068451847,5801115.430969044
03241,303373.link:179087,571495.3147866036,5795930.101546091
