Tabelle: 12251-0104
Erwerbstätige aus Hauptwohnsitzhaushalten: Bundesländer, Jahre, Geschlecht, Stellung im Beruf, Zeitaufwand für den Hinweg zur Arbeitsstätte;;;;;;;;;
Arbeitsmarktstatistik des Mikrozensus;;;;;;;;;;;;;;;
Erwerbstätige aus Hauptwohnsitzhaushalten (1000);;;;;;;;;;;;;;;
;;;;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte
;;;;Unter 10 Minuten;Unter 10 Minuten;10 bis unter 30 Minuten;10 bis unter 30 Minuten;30 bis unter 60 Minuten;30 bis unter 60 Minuten;60 Minuten und mehr;60 Minuten und mehr;Ständig wechselnde Arbeitsstätte;Ständig wechselnde Arbeitsstätte;Insgesamt;Insgesamt
2024;Brandenburg;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;27;()
2024;Brandenburg;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;
2024;Brandenburg;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Brandenburg;weiblich;Beamte;/;;/;;/;;/;;/;;35;()
2024;Brandenburg;weiblich;Arbeiter und Angestellte;92;e;209;e;99;e;43;e;/;;490;e
2024;Brandenburg;weiblich;Auszubildende;/;;/;;/;;/;;/;;/;
2024;Brandenburg;weiblich;Insgesamt;109;e;241;e;120;e;49;e;/;;584;e
2024;Brandenburg;Insgesamt;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;60;e
2024;Brandenburg;Insgesamt;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;53;e
2024;Brandenburg;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Brandenburg;Insgesamt;Beamte;/;;/;;27;();/;;/;;72;e
2024;Brandenburg;Insgesamt;Arbeiter und Angestellte;169;e;396;e;232;e;101;e;/;;1016;e
2024;Brandenburg;Insgesamt;Auszubildende;/;;/;;/;;/;;/;;44;e
2024;Brandenburg;Insgesamt;Insgesamt;205;e;461;e;281;e;124;e;32;();1244;e
2024;Bremen;männlich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;
2024;Bremen;männlich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;
2024;Bremen;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Bremen;männlich;Beamte;/;;/;;/;;/;;/;;/;
2024;Bremen;männlich;Arbeiter und Angestellte;16;();77;e;32;e;/;;/;;150;e
2024;Bremen;männlich;Auszubildende;/;;/;;/;;/;;/;;/;
2024;Bremen;männlich;Insgesamt;21;e;90;e;38;e;/;;/;;181;e
2024;Bremen;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;
2024;Bremen;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;
2024;Bremen;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Bremen;weiblich;Beamte;/;;/;;/;;/;;/;;/;
2024;Bremen;weiblich;Arbeiter und Angestellte;22;e;63;e;27;e;/;;/;;131;e
2024;Bremen;weiblich;Auszubildende;/;;/;;/;;/;;/;;/;
2024;Bremen;weiblich;Insgesamt;25;e;75;e;30;e;/;;/;;154;e
2024;Bremen;Insgesamt;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;11;()
2024;Bremen;Insgesamt;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;11;()
2024;Bremen;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Bremen;Insgesamt;Beamte;/;;/;;/;;/;;/;;17;()
2024;Bremen;Insgesamt;Arbeiter und Angestellte;38;e;141;e;59;e;16;();/;;281;e
2024;Bremen;Insgesamt;Auszubildende;/;;/;;/;;/;;/;;13;()
2024;Bremen;Insgesamt;Insgesamt;46;e;165;e;68;e;18;();/;;335;e
2024;Hamburg;männlich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;30;()
2024;Hamburg;männlich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;25;()
2024;Hamburg;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Hamburg;männlich;Beamte;/;;/;;/;;/;;/;;/;
2024;Hamburg;männlich;Arbeiter und Angestellte;29;();178;e;141;e;26;();/;;423;e
2024;Hamburg;männlich;Auszubildende;/;;/;;/;;/;;/;;/;
2024;Hamburg;männlich;Insgesamt;40;e;208;e;159;e;31;();23;();510;e
2024;Hamburg;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;27;()
2024;Hamburg;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;
2024;Hamburg;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Hamburg;weiblich;Beamte;/;;/;;/;;/;;/;;25;()
2024;Hamburg;weiblich;Arbeiter und Angestellte;38;e;179;e;121;e;/;;/;;398;e
2024;Hamburg;weiblich;Auszubildende;/;;/;;/;;/;;/;;/;
2024;Hamburg;weiblich;Insgesamt;48;e;209;e;138;e;/;;/;;471;e
2024;Hamburg;Insgesamt;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;56;e
2024;Hamburg;Insgesamt;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;32;()
2024;Hamburg;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Hamburg;Insgesamt;Beamte;/;;/;;/;;/;;/;;40;e
2024;Hamburg;Insgesamt;Arbeiter und Angestellte;67;e;357;e;262;e;44;e;22;();822;e
2024;Hamburg;Insgesamt;Auszubildende;/;;/;;/;;/;;/;;29;()
2024;Hamburg;Insgesamt;Insgesamt;89;e;417;e;297;e;51;e;30;();981;e
2024;Hessen;männlich;Selbstständige ohne Beschäftigte;19;();/;;/;;/;;/;;94;e
2024;Hessen;männlich;Selbstständige mit Beschäftigten;33;e;25;();/;;/;;/;;94;e
2024;Hessen;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Hessen;männlich;Beamte;/;;33;e;20;();/;;/;;73;e
2024;Hessen;männlich;Arbeiter und Angestellte;203;e;598;e;337;e;80;e;/;;1375;e
2024;Hessen;männlich;Auszubildende;/;;27;();/;;/;;/;;62;e
2024;Hessen;männlich;Insgesamt;274;e;699;e;392;e;92;e;30;();1701;e
2024;Hessen;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;57;e
2024;Hessen;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;33;e
2024;Hessen;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Hessen;weiblich;Beamte;/;;39;e;22;();/;;/;;79;e
2024;Hessen;weiblich;Arbeiter und Angestellte;245;e;599;e;264;e;54;e;/;;1274;e
2024;Hessen;weiblich;Auszubildende;/;;24;();/;;/;;/;;51;e
2024;Hessen;weiblich;Insgesamt;292;e;682;e;305;e;61;e;/;;1499;e
2024;Hessen;Insgesamt;Selbstständige ohne Beschäftigte;32;e;23;();/;;/;;/;;152;e
2024;Hessen;Insgesamt;Selbstständige mit Beschäftigten;45;e;35;e;/;;/;;/;;127;e
2024;Hessen;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Hessen;Insgesamt;Beamte;20;();73;e;42;e;/;;/;;152;e
2024;Hessen;Insgesamt;Arbeiter und Angestellte;448;e;1196;e;601;e;134;e;23;();2648;e
2024;Hessen;Insgesamt;Auszubildende;/;;51;e;29;();/;;/;;112;e
2024;Hessen;Insgesamt;Insgesamt;565;e;1381;e;697;e;154;e;38;e;3200;e
2024;Mecklenburg-Vorpommern;männlich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;
2024;Mecklenburg-Vorpommern;männlich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;21;()
2024;Mecklenburg-Vorpommern;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Mecklenburg-Vorpommern;männlich;Beamte;/;;/;;/;;/;;/;;23;()
2024;Mecklenburg-Vorpommern;männlich;Arbeiter und Angestellte;68;e;126;e;57;e;22;();/;;308;e
2024;Mecklenburg-Vorpommern;männlich;Auszubildende;/;;/;;/;;/;;/;;/;
2024;Mecklenburg-Vorpommern;männlich;Insgesamt;83;e;150;e;70;e;29;();/;;383;e
2024;Mecklenburg-Vorpommern;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;
2024;Mecklenburg-Vorpommern;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;
2024;Mecklenburg-Vorpommern;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Mecklenburg-Vorpommern;weiblich;Beamte;/;;/;;/;;/;;/;;/;
2024;Mecklenburg-Vorpommern;weiblich;Arbeiter und Angestellte;75;e;152;e;50;e;/;;/;;307;e
2024;Mecklenburg-Vorpommern;weiblich;Auszubildende;/;;/;;/;;/;;/;;/;
2024;Mecklenburg-Vorpommern;weiblich;Insgesamt;84;e;170;e;59;e;/;;/;;352;e
2024;Mecklenburg-Vorpommern;Insgesamt;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;20;()
2024;Mecklenburg-Vorpommern;Insgesamt;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;29;()
2024;Mecklenburg-Vorpommern;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Mecklenburg-Vorpommern;Insgesamt;Beamte;/;;/;;/;;/;;/;;40;e
2024;Mecklenburg-Vorpommern;Insgesamt;Arbeiter und Angestellte;143;e;279;e;107;e;31;e;/;;616;e
2024;Mecklenburg-Vorpommern;Insgesamt;Auszubildende;/;;/;;/;;/;;/;;29;()
