code,cdf,distance_km_euclid
03151,0.7894736842105263,28.57543877291509
03151,0.8421052631578947,33.04355378080884
03151,0.894736842105263,43.762635297143945
03151,0.9473684210526315,68.94665835037172
03151,1.0,534.0520189004015
03153,0.0,0.029298379694590523
03153,0.05263157894736842,0.8152544484562435
03153,0.10526315789473684,1.430687881622915
03153,0.15789473684210525,1.879224146147057
03153,0.21052631578947367,2.4295967462492394
03153,0.2631578947368421,3.020322587733573
03153,0.3157894736842105,4.380136448739612
03153,0.3684210526315789,6.347826074002267
03153,0.42105263157894735,7.426061503972576
03153,0.47368421052631576,8.852574271392164
03153,0.5263157894736842,10.231154896327864
03153,0.5789473684210527,12.43780645828682
03153,0.631578947368421,16.931753489753753
03153,0.6842105263157894,24.32347034237855
03153,0.7368421052631579,30.94890603625057
03153,0.7894736842105263,38.88840791483319
03153,0.8421052631578947,47.79928114700522
03153,0.894736842105263,59.393814505963945
03153,0.9473684210526315,106.08503895942138
03153,1.0,462.0509453772686
03154,0.0,0.0706347741025146
03154,0.05263157894736842,0.7549477618905892
03154,0.10526315789473684,1.1887070405327747
03154,0.15789473684210525,1.8960621284147963
03154,0.21052631578947367,2.9209662587318013
03154,0.2631578947368421,4.2281085200786945
03154,0.3157894736842105,8.24163111813234
03154,0.3684210526315789,10.0723738447122
03154,0.42105263157894735,11.239704050687141
03154,0.47368421052631576,13.052543300801329
03154,0.5263157894736842,14.611221727751277
03154,0.5789473684210527,16.7394020811706
03154,0.631578947368421,18.98614596245451
03154,0.6842105263157894,22.58943544937438
03154,0.7368421052631579,27.064520932943896
03154,0.7894736842105263,29.902291942149503
03154,0.8421052631578947,33.667735909524
03154,0.894736842105263,37.1102783721573
03154,0.9473684210526315,71.17214665335177
03154,1.0,488.57259538655705
03157,0.0,0.021505781983159257
03157,0.05263157894736842,1.65919349714063
03157,0.10526315789473684,2.2987439119939053
03157,0.15789473684210525,3.0319639513823886
03157,0.21052631578947367,3.9177737779701625
03157,0.2631578947368421,5.294454471820106
03157,0.3157894736842105,7.349407928885006
03157,0.3684210526315789,9.56397246048144
03157,0.42105263157894735,11.329201520606881
03157,0.47368421052631576,14.597334583307134
03157,0.5263157894736842,17.108698813847397
03157,0.5789473684210527,19.953192307345205
03157,0.631578947368421,21.924442835835865
03157,0.6842105263157894,26.087020818181816
03157,0.7368421052631579,30.490264791535875
03157,0.7894736842105263,32.92553745479564
03157,0.8421052631578947,39.68564872354252
03157,0.894736842105263,46.639300021346074
03157,0.9473684210526315,97.48809725356678
03157,1.0,549.6869649631935
03158,0.0,0.0060856397835122545
03158,0.05263157894736842,1.128305612129284
03158,0.10526315789473684,1.8830830374662235
03158,0.15789473684210525,2.2835102476933486
03158,0.21052631578947367,3.070059312605606
03158,0.2631578947368421,4.757007816106241
03158,0.3157894736842105,7.561731712811836
03158,0.3684210526315789,9.542746946407545
03158,0.42105263157894735,10.968534042538963
03158,0.47368421052631576,12.503861908571812
03158,0.5263157894736842,14.546149316096633
03158,0.5789473684210527,16.068083161645667
03158,0.631578947368421,17.993387024706692
03158,0.6842105263157894,20.30948998464235
03158,0.7368421052631579,23.468678825243693
03158,0.7894736842105263,26.35115225473231
03158,0.8421052631578947,31.014843070364158
03158,0.894736842105263,39.79694827550371
03158,0.9473684210526315,65.90657514764436
03158,1.0,481.1729874489159
zgb,0.0,0.0060856397835122545
zgb,0.05263157894736842,0.9822377812842659
zgb,0.10526315789473684,1.5914669628810811
zgb,0.15789473684210525,2.202103704900266
zgb,0.21052631578947367,2.7565357448660235
zgb,0.2631578947368421,3.540205041745096
zgb,0.3157894736842105,4.44277541433328
zgb,0.3684210526315789,5.279790168310351
zgb,0.42105263157894735,6.764247710106329
zgb,0.47368421052631576,8.055744523416072
zgb,0.5263157894736842,10.143195690296823
zgb,0.5789473684210527,12.421778284453962
zgb,0.631578947368421,15.09882942640676
zgb,0.6842105263157894,18.269268665316407
zgb,0.7368421052631579,21.933813585009055
zgb,0.7894736842105263,26.017675654731523
zgb,0.8421052631578947,32.52474450783
zgb,0.894736842105263,44.00139006770664
zgb,0.9473684210526315,77.79654753805039
zgb,1.0,549.6869649631935
