code,scope,n_model,is_aggregate,model_share_0_5,model_share_5_10,model_share_10_20,model_share_20_30,model_share_30_50,model_share_50_100,model_share_100_plus,n_reference_persons,source,emd,noise_floor,target_share_0_5,target_share_5_10,target_share_10_20,target_share_20_30,target_share_30_50,target_share_50_100,target_share_100_plus,target_share_raw_0_5,target_share_raw_5_10,target_share_raw_10_20,target_share_raw_20_30,target_share_raw_30_50,target_share_raw_50_100,target_share_raw_100_plus,classification,variant
03102,all,26861,False,0.2137671717359741,0.23759353709839545,0.23308886489706265,0.1342839060347716,0.0821637318044749,0.05502401250884181,0.044078775920479506,466,srv,0.02181591079390413,0.03179130531,0.2358076516,0.1925972439,0.2546295029,0.150274981,0.09805136248,0.06400504849,0.004634209561,0.2162846734,0.1829965367,0.26857572,0.1615344984,0.09639013771,0.06942939803,0.004789035746,ok,all_gis_fallback
03103,all,33911,False,0.4380289581551709,0.31452920881130014,0.06428592492111704,0.06965291498333874,0.036359883223732715,0.027631152133525995,0.049511957771814455,1885,proxy_rs7_72,0.07784879363455195,0.01663293296,0.328856468,0.2400185379,0.1876813009,0.09655913977,0.1046267299,0.03842834458,0.003829478913,0.328856468,0.2400185379,0.1876813009,0.09655913977,0.1046267299,0.03842834458,0.003829478913,ok,all_gis_fallback
03151,all,46178,False,0.2057256702325783,0.11609424401230023,0.22796569795140542,0.16107237212525444,0.16700593356143617,0.07672484732989736,0.04541123478712807,962,srv,0.03491419322233842,0.03600960898,0.2039141003,0.1343735297,0.2410379022,0.1739173663,0.2005223462,0.04420323316,0.002031522096,0.1952546043,0.1329712668,0.2417915338,0.1773982335,0.2071836889,0.0436189146,0.001781758026,ok,all_gis_fallback
03153,all,34036,False,0.30088729580444235,0.13256551886238102,0.1814843107298155,0.06105300270302033,0.10994241391467857,0.14546362674814903,0.06860383123751322,641,srv,0.09950742445093534,0.02557128864,0.3324188509,0.1795866298,0.2076384213,0.1198508422,0.1060115054,0.04506514445,0.009428605996,0.3315567052,0.1761763752,0.2087242107,0.1231157864,0.1050581655,0.04518585692,0.01018290005,gap,all_gis_fallback
03154,all,23593,False,0.25469418895435086,0.05374475480015259,0.24053744754800152,0.14084686135718222,0.20874835756368415,0.05255796210740474,0.04887042766922392,492,srv,0.03969390275058455,0.03607482806,0.2527813148,0.09981936085,0.2923012281,0.09339550153,0.1767786583,0.06723820078,0.01768573573,0.2457818967,0.09005433279,0.3041941676,0.08383535464,0.1849775259,0.07077759571,0.02037912665,ok,all_gis_fallback
03157,all,35241,False,0.2081098720240629,0.11563236003518629,0.17269657501205982,0.1547912942311512,0.1794784483981726,0.11231236344031101,0.05697908685905621,677,srv,0.08771476151355706,0.0264260177,0.2199169602,0.174662847,0.2477411243,0.149258447,0.1434784708,0.06102626838,0.00391588239,0.2099758241,0.1786214213,0.2498021521,0.1505622908,0.1445180928,0.06268090512,0.003839313696,gap,all_gis_fallback
03158,all,32325,False,0.2408662026295437,0.07808197989172468,0.24522815158546016,0.16652745552977571,0.16071152358855376,0.06567672080433101,0.04290796597061098,517,srv,0.09312341856191804,0.03263063176,0.3002480263,0.0980187146,0.3282511737,0.1484474755,0.09077213737,0.03046924068,0.00379323188,0.3027682535,0.08837759578,0.3465225873,0.1499979689,0.08193885068,0.02672550045,0.003669243377,gap,all_gis_fallback
zgb,all,304900,True,0.28579206297146603,0.17780911774352245,0.17368973433912757,0.11350934732699246,0.12552312233519186,0.0705641193834044,0.05311249590029518,5174,srv,0.044945926762052564,0.01197158471,0.2877324763,0.186780871,0.226564076,0.1213019714,0.1277706395,0.04436816051,0.005481805369,0.2877324763,0.186780871,0.226564076,0.1213019714,0.1277706395,0.04436816051,0.005481805369,ok,all_gis_fallback
03101,inter,25267,False,0.005778287885384098,0.018601337713222782,0.20271500375984486,0.19634305616020897,0.2743499426128943,0.1300114774211422,0.1722008944473028,398,srv,0.07760893877323546,0.02210161473,0.001239695071,0.02702595226,0.2254966758,0.2506651808,0.3832904214,0.09972238893,0.01255968575,0.0,0.02016812151,0.2275347804,0.2450733872,0.3991095926,0.09540313703,0.01271098131,ok,inter_gis_fallback
03102,inter,11033,False,0.0044412217891779205,0.030635366627390557,0.2041149279434424,0.31949605728269737,0.2000362548717484,0.13396175111030545,0.10731442037523792,187,srv,0.048784773617052614,0.03994950157,0.0104545893,0.07940840547,0.1792597031,0.3130378389,0.2592554147,0.1470822284,0.01150182011,0.01274384483,0.09282460165,0.1588718333,0.334490951,0.2265951444,0.1632154995,0.01125812529,ok,inter_gis_fallback
