cell_id,stichtag,ev_share,minx,miny,maxx,maxy,suppressed
5kmN3225E4360,2026-04-01,0.069,1176598.8429999985,6824221.228500001,1184799.1477999985,6832442.1215,False
5kmN3225E4365,2026-04-01,0.047,1184727.1845999993,6824145.276600003,1192935.5322999991,6832374.1884,False
5kmN3225E4370,2026-04-01,0.047,1192855.393199999,6824061.1592999995,1201071.768100001,6832298.071999997,False
5kmN3225E4375,2026-04-01,0.049,1200983.4536000006,6823968.877400003,1209207.8399999999,6832213.772699997,False
5kmN3225E4380,2026-04-01,0.049,1209111.3509000018,6823868.431299999,1217343.732900001,6832121.291000001,False
5kmN3225E4385,2026-04-01,0.038,1217239.069699999,6823759.821699999,1225479.4316999987,6832020.627400003,False
5kmN3225E4390,2026-04-01,0.01,1225366.5951999985,6823643.049099997,1233614.9211000018,6831911.782700002,False
5kmN3225E4395,2026-04-01,0.022000000000000002,1233493.9120999984,6823518.114399999,1241750.1860999987,6831794.757399999,False
5kmN3225E4400,2026-04-01,0.027999999999999997,1241621.0053000003,6823385.018200003,1249885.2113999985,6831669.552299999,False
5kmN3225E4405,2026-04-01,0.047,1249747.8599000014,6823243.761399999,1258019.981899999,6831536.167999998,False
5kmN3225E4410,2026-04-01,0.032,1257874.4605999999,6823094.344800003,1266154.4825999998,6831394.605499998,False
5kmN3225E4415,2026-04-01,0.036000000000000004,1266000.7923999988,6822936.769400001,1274288.6981999986,6831244.865500003,False
5kmN3225E4420,2026-04-01,0.057,1274126.8401999995,6822771.035999998,1282422.613499999,6831086.949000001,False
5kmN3225E4425,2026-04-01,0.043,1282252.5890000015,6822597.1455999985,1290556.2135999985,6830920.857000001,False
5kmN3225E4430,2026-04-01,0.046,1290378.023600001,6822415.099399999,1298689.4831999987,6830746.590400003,False
5kmN3230E4320,2026-04-01,0.049,1111565.8599999994,6832688.490699999,1119711.0986000001,6840852.781999998,False
5kmN3230E4325,2026-04-01,0.051,1119704.5397000015,6832677.849799998,1127856.3249999993,6840850.321099997,False
5kmN3230E4330,2026-04-01,0.055,1127841.567499999,6832659.023800001,1136001.5240000002,6840839.657200001,False
5kmN3230E4335,2026-04-01,0.062,1135978.568,6832632.012699999,1144146.680300001,6840820.790299997,False
5kmN3230E4340,2026-04-01,0.06,1144115.5260999985,6832596.816699997,1152291.7787999995,6840793.720700003,False
