home_ars5,dest_ars5,n_model,model_km_median,model_km_p10,model_km_p90,centroid_km,class_model_median,class_centroid,same_class,ba_flow
03101,16051,11,198.43630301934397,198.43044594605436,198.50882361810253,192.09583098949813,100_200,100_200,True,20.0
03101,16061,13,138.61505435685362,119.92777421082086,139.81032624276702,131.93828581830638,100_200,100_200,True,10.0
03101,16062,8,111.95399410206875,106.61800589480677,119.0762215588693,113.30827018413538,100_200,100_200,True,10.0
03102,01002,16,312.0037732443044,311.86721068320685,312.20023863849633,319.162881535597,gt200,gt200,True,20.0
03102,01056,30,226.45009834175323,212.68546364661734,236.3458675941935,237.0018142454561,gt200,gt200,True,40.0
03102,01060,2,248.22535356050042,234.70300171837778,261.7477054026231,260.4567553750236,gt200,gt200,True,10.0
03102,02000,102,204.09501466532106,203.91814570709616,204.21396685503655,208.16792893837265,gt200,gt200,True,140.0
03102,03155,38,66.3043866617067,53.93292469772039,79.40258773382516,72.3319677303581,50_100,50_100,True,40.0
03102,03159,41,86.36585988308921,66.4561516736026,128.25394190107707,84.91156251047845,50_100,50_100,True,80.0
03102,03241,847,67.59532476247018,47.428394469808005,81.89276244459862,71.99952058731397,50_100,50_100,True,1220.0
03102,03254,536,35.707172009184546,23.571490985274014,47.50880838242398,38.3736079061015,25_50,25_50,True,800.0
03102,03255,9,85.40740578735227,71.29269383755906,87.5965540540919,81.19411786206379,50_100,50_100,True,20.0
03102,03257,12,103.52093853081826,99.67164116820415,117.90230623727791,106.2560566565001,100_200,100_200,True,10.0
03102,03351,23,76.65683588811929,65.56365759477175,99.536312810659,88.36186537478585,50_100,50_100,True,30.0
03102,03353,36,177.5080447332819,172.9759783492678,188.4772068677556,175.9851154666098,100_200,100_200,True,50.0
03102,03355,8,173.5853374961568,172.46649116624292,176.07507278846072,161.27434676499306,100_200,100_200,True,10.0
03102,03358,16,141.74399566800656,112.68540684057231,163.46903357012962,127.77455625013432,100_200,100_200,True,20.0
03102,03361,14,170.3576630697629,155.24202003719978,173.88120668057812,161.73987490168997,100_200,100_200,True,10.0
03102,03459,3,195.65969718216493,184.1796520668234,208.7736315888217,209.59987683254116,100_200,gt200,False,10.0
03102,03460,18,208.0858534154707,203.46019289503056,215.05131853842784,205.1892572300936,gt200,gt200,True,30.0
03102,04011,22,197.6984140047383,197.63071172298422,197.7526462765194,200.7246139258785,100_200,gt200,False,30.0
03102,05111,36,354.0310720980632,353.92300494387376,358.7572612389072,344.85840435466815,gt200,gt200,True,50.0
03102,05112,6,350.6170906268053,350.5829270193603,350.687929186414,340.7644261765318,gt200,gt200,True,10.0
03102,05113,15,325.93299283357413,315.36269684433114,325.9816071465508,316.8938386160653,gt200,gt200,True,20.0
03102,05122,26,340.2514413998175,340.174418894949,340.2514413998175,328.1686127305248,gt200,gt200,True,30.0
03102,05124,8,313.04728738001336,312.6522414729544,317.9898962203533,314.22865034564273,gt200,gt200,True,10.0
03102,05158,35,345.82232568790755,330.29126679374133,352.8143079083342,330.3921036816466,gt200,gt200,True,40.0
03102,05162,4,366.13318649528594,362.10002782815127,376.9950375033845,363.59903483078995,gt200,gt200,True,10.0
03102,05170,12,354.85807190511747,334.18719093339814,361.7975909179896,343.423519687937,gt200,gt200,True,20.0
03102,05314,7,369.2000322201205,369.0736696408822,369.24116293807367,359.09204340707095,gt200,gt200,True,10.0
03102,05315,19,359.4502393174803,359.33938802430373,359.50709436971357,350.51947728664453,gt200,gt200,True,30.0
03102,05316,4,351.4515283694211,351.43946146965,351.4851650598157,339.54483937739377,gt200,gt200,True,10.0
03102,05382,5,356.5351726970168,353.7735886974266,380.3951223127401,345.2016132752855,gt200,gt200,True,10.0
03102,05515,2,248.3876464053667,242.16954732124728,254.6057454894861,246.17998219412596,gt200,gt200,True,10.0
03102,05554,15,312.0405684107018,290.4020922392229,353.80799937366453,310.4230743402213,gt200,gt200,True,20.0
03102,05562,18,297.53257959536654,279.21115207339017,310.1309601463544,294.58228472233395,gt200,gt200,True,20.0
03102,05566,2,259.8311634178215,258.88231037810596,260.780016457537,248.50927210892107,gt200,gt200,True,10.0
03102,05711,35,159.15189964128732,153.08579790226457,169.0145357985742,163.8924809344633,100_200,100_200,True,70.0
03102,05754,9,203.21732904521397,175.03917661720538,204.66674723453073,182.23428489414275,gt200,100_200,False,10.0
03102,05766,5,141.74356885721812,129.12274871818877,149.80773408515876,128.24928335127686,100_200,100_200,True,10.0
03102,05770,17,142.80431833543983,126.41907659734571,171.65386230096925,148.51538132585074,100_200,100_200,True,20.0
03102,05913,14,271.0809242840981,270.2045524645827,271.54894952022397,273.969429135274,gt200,gt200,True,20.0
03102,05974,6,238.1123623374366,223.4319069980191,249.31015802614996,209.14157489216456,gt200,gt200,True,10.0
03102,05978,49,254.64740337700948,246.1539224158702,264.30021208476967,257.2244681534462,gt200,gt200,True,90.0
03102,06412,34,341.8912194189231,341.825669436568,341.92661921832797,329.8642664943649,gt200,gt200,True,40.0
03102,06431,9,403.4470680096461,396.57455413028504,405.1897667551437,394.6876170279342,gt200,gt200,True,20.0
03102,06433,23,373.4655888223151,363.0108953977582,378.837546409057,364.7335721248219,gt200,gt200,True,30.0
03102,06434,4,327.0014964951585,309.2051334680596,334.06030164058944,315.7385623911407,gt200,gt200,True,10.0
03102,06436,6,352.48743381811414,345.31653962890357,360.5551747381933,341.2734506592001,gt200,gt200,True,10.0
03102,06438,17,353.361303067612,331.7831281903157,354.527951953971,335.51537057724414,gt200,gt200,True,30.0
03102,06532,12,268.2605575947588,256.2870236418875,281.95511767443736,280.0925942722891,gt200,gt200,True,20.0
03102,06611,2,136.02958992576146,136.00481052520053,136.05436932632242,143.17966890776262,100_200,100_200,True,10.0
03102,06633,15,137.70282108010207,131.26073959846707,143.7587493835857,135.70769400064836,100_200,100_200,True,20.0
03102,08111,29,507.1885480813033,507.14176649147845,507.238342767199,496.7046939409939,gt200,gt200,True,40.0
03102,08116,16,517.8864268441173,509.9100535687491,523.834478869944,510.9777674930814,gt200,gt200,True,20.0
03102,08125,4,438.1430249472277,420.05142087267683,449.1788372263026,439.6404545306279,gt200,gt200,True,10.0
03102,08212,37,495.7919675742779,474.0364567709074,495.9253439102846,484.73952830723755,gt200,gt200,True,50.0
03102,08226,6,422.16272407855206,411.92079024951795,432.449641671171,424.67222853799876,gt200,gt200,True,10.0
03102,08317,5,584.5923895229988,560.3256756368959,605.2461768505524,578.0203579492911,gt200,gt200,True,20.0
03102,09162,18,594.3544151335242,594.3251031808613,594.4111773332173,584.451447728437,gt200,gt200,True,40.0
03102,09184,37,607.1888295317199,583.5549991196558,617.8085804020233,597.1641444330875,gt200,gt200,True,60.0
03102,09274,6,546.3634818293057,534.8705119104725,566.3966409995103,542.6550653689442,gt200,gt200,True,10.0
03102,09564,9,399.86417670030477,395.3464825306666,400.368474842175,394.11624623810485,gt200,gt200,True,20.0
03102,09671,22,334.56206693403703,305.13938851493504,354.07924441628165,322.88742789997656,gt200,gt200,True,20.0
03102,11000,127,274.2270293347179,262.10131949654084,275.72074897744335,274.2323155504123,gt200,gt200,True,190.0
03102,12067,6,319.0815990815182,313.52744985386346,354.717177648909,342.74158949163115,gt200,gt200,True,10.0
03102,12069,20,225.6568548034943,183.19536612968525,261.4988661397597,206.8691324462177,gt200,gt200,True,30.0
03102,14612,6,336.60957921565875,336.56178153489054,336.6408702925847,343.4402791703574,gt200,gt200,True,10.0
03102,14713,11,219.69254320506334,212.58621407292765,220.33612477352943,212.56774549627482,gt200,gt200,True,20.0
03102,15003,20,115.85621891448477,102.00848108482728,116.4258640822207,113.11841393306207,100_200,100_200,True,40.0
03102,15083,22,100.28839658941882,85.00065636685983,119.98317531800937,87.97231143449798,100_200,50_100,False,30.0
03102,15085,91,74.73760938845484,62.65804724629883,99.74605330127606,68.42866932629357,50_100,50_100,True,130.0
03102,15089,8,120.74478273774842,96.35675711655266,135.27538914822162,120.21655148250771,100_200,100_200,True,10.0
03102,16062,16,99.95101913465237,76.01751261314462,106.94128013318974,95.58301763276293,50_100,50_100,True,30.0
03103,01002,2,284.7863230206151,284.7410745573578,284.8315714838724,282.7640809580349,gt200,gt200,True,10.0
03103,01003,13,205.70546485144848,205.66884970888339,206.27572315166762,211.5310547735257,gt200,gt200,True,20.0
03103,01062,15,190.43886527874423,170.40476081455904,204.1332101897306,193.54101449761765,100_200,100_200,True,20.0
03103,02000,138,181.2670311030276,180.3473035750048,183.25235968419292,177.66929001411273,100_200,100_200,True,230.0
03103,03159,40,139.6889163072592,109.61276470369552,164.85461791421375,137.37444503363002,100_200,100_200,True,60.0
03103,03241,701,86.32325186787523,74.1297076031558,109.28067930659275,94.19939579659402,50_100,50_100,True,1050.0
