# Source: MiD 2023 "Handbuch zur Datennutzung", Abbildung 2 (p.16):
#   "Bestimmung des oekonomischen Status ueber Haushaltsnettoeinkommen und
#   gewichtete Haushaltsgroesse". Extracted from the PDF VECTOR FILLS by
#   scripts/extract_mid_status_matrix.py (cell rectangle colour -> class),
#   not transcribed visually.
# wsize_row: weighted household size (1.0 first member 14+, +0.5 per further
#   member 14+, +0.3 per member <14); the 30 achievable values; sizes above
#   4.5 use the 4.5 row.
# income_col 0..14 with [income_lo_eur, income_hi_eur) monthly net household
#   income; income_hi_eur = -1 means open top class (>= 7000).
wsize_row,income_col,income_lo_eur,income_hi_eur,status
4.0,4,2000,2600,very_low
4.0,5,2600,3000,very_low
4.0,6,3000,3600,very_low
4.0,7,3600,4000,low
4.0,8,4000,4600,medium
4.0,9,4600,5000,medium
4.0,10,5000,5600,medium
4.0,11,5600,6000,high
4.0,12,6000,6600,high
4.0,13,6600,7000,high
4.0,14,7000,-1,very_high
4.1,0,0,500,very_low
4.1,1,500,900,very_low
4.1,2,900,1500,very_low
4.1,3,1500,2000,very_low
4.1,4,2000,2600,very_low
4.1,5,2600,3000,very_low
4.1,6,3000,3600,very_low
4.1,7,3600,4000,low
4.1,8,4000,4600,medium
4.1,9,4600,5000,medium
4.1,10,5000,5600,medium
4.1,11,5600,6000,high
4.1,12,6000,6600,high
4.1,13,6600,7000,high
4.1,14,7000,-1,very_high
4.3,0,0,500,very_low
4.3,1,500,900,very_low
4.3,2,900,1500,very_low
4.3,3,1500,2000,very_low
4.3,4,2000,2600,very_low
4.3,5,2600,3000,very_low
4.3,6,3000,3600,very_low
4.3,7,3600,4000,low
4.3,8,4000,4600,medium
4.3,9,4600,5000,medium
4.3,10,5000,5600,medium
4.3,11,5600,6000,high
4.3,12,6000,6600,high
4.3,13,6600,7000,high
4.3,14,7000,-1,very_high
4.5,0,0,500,very_low
4.5,1,500,900,very_low
4.5,2,900,1500,very_low
4.5,3,1500,2000,very_low
4.5,4,2000,2600,very_low
4.5,5,2600,3000,very_low
4.5,6,3000,3600,very_low
4.5,7,3600,4000,low
4.5,8,4000,4600,medium
4.5,9,4600,5000,medium
4.5,10,5000,5600,medium
4.5,11,5600,6000,high
4.5,12,6000,6600,high
4.5,13,6600,7000,high
4.5,14,7000,-1,very_high
