# MiD 2023 oekonomischer Status x Haushaltstyp x Region.
# Generated by scripts/extract_mid_status_by_hhtype.py from
# mid2023_status_by_hhtype_bundesland.xlsx (sheet 'MiD Tabellen').
# share_pct = P(hhtype | status, region) in percent; base_weighted =
# weighted base (persons) of the (status, region) cell.
region,hhtype,status,share_pct,base_weighted
rheinland_pfalz,couple_youngest_60_plus,low,31.0,2124.0
baden_wuerttemberg,couple_youngest_60_plus,low,28.0,4839.0
bayern,couple_youngest_60_plus,low,26.0,6190.0
saarland,couple_youngest_60_plus,low,31.0,610.0
berlin,couple_youngest_60_plus,low,16.0,1948.0
brandenburg,couple_youngest_60_plus,low,35.0,1466.0
mecklenburg_vorpommern,couple_youngest_60_plus,low,41.0,1060.0
sachsen,couple_youngest_60_plus,low,37.0,3440.0
sachsen_anhalt,couple_youngest_60_plus,low,44.0,1251.0
thueringen,couple_youngest_60_plus,low,36.0,1622.0
schleswig_holstein,three_plus_adults,low,7.0,1682.0
hamburg,three_plus_adults,low,4.0,900.0
niedersachsen,three_plus_adults,low,6.0,4142.0
bremen,three_plus_adults,low,5.0,479.0
nordrhein_westfalen,three_plus_adults,low,5.0,10138.0
hessen,three_plus_adults,low,7.0,3011.0
rheinland_pfalz,three_plus_adults,low,6.0,2124.0
baden_wuerttemberg,three_plus_adults,low,8.0,4839.0
bayern,three_plus_adults,low,7.0,6190.0
saarland,three_plus_adults,low,6.0,610.0
berlin,three_plus_adults,low,1.0,1948.0
brandenburg,three_plus_adults,low,3.0,1466.0
mecklenburg_vorpommern,three_plus_adults,low,3.0,1060.0
sachsen,three_plus_adults,low,3.0,3440.0
sachsen_anhalt,three_plus_adults,low,5.0,1251.0
thueringen,three_plus_adults,low,5.0,1622.0
schleswig_holstein,child_under_6,low,7.0,1682.0
hamburg,child_under_6,low,8.0,900.0
niedersachsen,child_under_6,low,8.0,4142.0
bremen,child_under_6,low,26.0,479.0
nordrhein_westfalen,child_under_6,low,14.0,10138.0
hessen,child_under_6,low,11.0,3011.0
rheinland_pfalz,child_under_6,low,7.0,2124.0
baden_wuerttemberg,child_under_6,low,13.0,4839.0
bayern,child_under_6,low,10.0,6190.0
saarland,child_under_6,low,10.0,610.0
berlin,child_under_6,low,10.0,1948.0
brandenburg,child_under_6,low,7.0,1466.0
mecklenburg_vorpommern,child_under_6,low,1.0,1060.0
sachsen,child_under_6,low,3.0,3440.0
sachsen_anhalt,child_under_6,low,1.0,1251.0
thueringen,child_under_6,low,8.0,1622.0
schleswig_holstein,child_under_14,low,8.0,1682.0
hamburg,child_under_14,low,8.0,900.0
niedersachsen,child_under_14,low,8.0,4142.0
bremen,child_under_14,low,12.0,479.0
nordrhein_westfalen,child_under_14,low,10.0,10138.0
hessen,child_under_14,low,5.0,3011.0
rheinland_pfalz,child_under_14,low,6.0,2124.0
baden_wuerttemberg,child_under_14,low,7.0,4839.0
bayern,child_under_14,low,7.0,6190.0
saarland,child_under_14,low,10.0,610.0
berlin,child_under_14,low,8.0,1948.0
brandenburg,child_under_14,low,8.0,1466.0
mecklenburg_vorpommern,child_under_14,low,2.0,1060.0
sachsen,child_under_14,low,4.0,3440.0
sachsen_anhalt,child_under_14,low,2.0,1251.0
thueringen,child_under_14,low,3.0,1622.0
schleswig_holstein,child_under_18,low,6.0,1682.0
hamburg,child_under_18,low,2.0,900.0
niedersachsen,child_under_18,low,2.0,4142.0
bremen,child_under_18,low,4.0,479.0
nordrhein_westfalen,child_under_18,low,4.0,10138.0
hessen,child_under_18,low,3.0,3011.0
rheinland_pfalz,child_under_18,low,8.0,2124.0
baden_wuerttemberg,child_under_18,low,3.0,4839.0
bayern,child_under_18,low,4.0,6190.0
saarland,child_under_18,low,3.0,610.0
berlin,child_under_18,low,1.0,1948.0
brandenburg,child_under_18,low,2.0,1466.0
mecklenburg_vorpommern,child_under_18,low,2.0,1060.0
sachsen,child_under_18,low,5.0,3440.0
sachsen_anhalt,child_under_18,low,2.0,1251.0
thueringen,child_under_18,low,2.0,1622.0
schleswig_holstein,single_parent,low,6.0,1682.0
hamburg,single_parent,low,8.0,900.0
niedersachsen,single_parent,low,4.0,4142.0
bremen,single_parent,low,8.0,479.0
nordrhein_westfalen,single_parent,low,5.0,10138.0
hessen,single_parent,low,5.0,3011.0
rheinland_pfalz,single_parent,low,4.0,2124.0
baden_wuerttemberg,single_parent,low,5.0,4839.0
bayern,single_parent,low,8.0,6190.0
saarland,single_parent,low,4.0,610.0
berlin,single_parent,low,3.0,1948.0
brandenburg,single_parent,low,5.0,1466.0
mecklenburg_vorpommern,single_parent,low,4.0,1060.0
sachsen,single_parent,low,4.0,3440.0
sachsen_anhalt,single_parent,low,2.0,1251.0
thueringen,single_parent,low,10.0,1622.0
schleswig_holstein,not_classifiable,low,0.0,1682.0
hamburg,not_classifiable,low,1.0,900.0
niedersachsen,not_classifiable,low,1.0,4142.0
bremen,not_classifiable,low,0.0,479.0
nordrhein_westfalen,not_classifiable,low,0.0,10138.0
hessen,not_classifiable,low,0.0,3011.0
rheinland_pfalz,not_classifiable,low,1.0,2124.0
baden_wuerttemberg,not_classifiable,low,0.0,4839.0
bayern,not_classifiable,low,1.0,6190.0
saarland,not_classifiable,low,0.0,610.0
berlin,not_classifiable,low,0.0,1948.0
brandenburg,not_classifiable,low,0.0,1466.0
mecklenburg_vorpommern,not_classifiable,low,0.0,1060.0
sachsen,not_classifiable,low,0.0,3440.0
sachsen_anhalt,not_classifiable,low,1.0,1251.0
thueringen,not_classifiable,low,0.0,1622.0
schleswig_holstein,single_18_29,medium,3.0,4260.0
hamburg,single_18_29,medium,6.0,2541.0
niedersachsen,single_18_29,medium,4.0,12795.0
bremen,single_18_29,medium,5.0,980.0
nordrhein_westfalen,single_18_29,medium,4.0,26582.0
hessen,single_18_29,medium,3.0,8882.0
rheinland_pfalz,single_18_29,medium,4.0,5769.0
baden_wuerttemberg,single_18_29,medium,4.0,15395.0
bayern,single_18_29,medium,4.0,17860.0
saarland,single_18_29,medium,3.0,1430.0
berlin,single_18_29,medium,5.0,5193.0
brandenburg,single_18_29,medium,3.0,4074.0
mecklenburg_vorpommern,single_18_29,medium,3.0,2631.0
sachsen,single_18_29,medium,4.0,6037.0
sachsen_anhalt,single_18_29,medium,1.0,3571.0
thueringen,single_18_29,medium,2.0,3452.0
schleswig_holstein,single_30_59,medium,9.0,4260.0
hamburg,single_30_59,medium,16.0,2541.0
niedersachsen,single_30_59,medium,7.0,12795.0
bremen,single_30_59,medium,12.0,980.0
nordrhein_westfalen,single_30_59,medium,9.0,26582.0
hessen,single_30_59,medium,9.0,8882.0
rheinland_pfalz,single_30_59,medium,8.0,5769.0
baden_wuerttemberg,single_30_59,medium,7.0,15395.0
bayern,single_30_59,medium,10.0,17860.0
saarland,single_30_59,medium,10.0,1430.0
berlin,single_30_59,medium,15.0,5193.0
brandenburg,single_30_59,medium,6.0,4074.0
mecklenburg_vorpommern,single_30_59,medium,9.0,2631.0
sachsen,single_30_59,medium,8.0,6037.0
sachsen_anhalt,single_30_59,medium,8.0,3571.0
thueringen,single_30_59,medium,10.0,3452.0
schleswig_holstein,single_60_plus,medium,15.0,4260.0
hamburg,single_60_plus,medium,20.0,2541.0
niedersachsen,single_60_plus,medium,13.0,12795.0
bremen,single_60_plus,medium,15.0,980.0
nordrhein_westfalen,single_60_plus,medium,15.0,26582.0
hessen,single_60_plus,medium,15.0,8882.0
rheinland_pfalz,single_60_plus,medium,14.0,5769.0
baden_wuerttemberg,single_60_plus,medium,14.0,15395.0
bayern,single_60_plus,medium,14.0,17860.0
saarland,single_60_plus,medium,16.0,1430.0
berlin,single_60_plus,medium,20.0,5193.0
brandenburg,single_60_plus,medium,20.0,4074.0
mecklenburg_vorpommern,single_60_plus,medium,14.0,2631.0
sachsen,single_60_plus,medium,16.0,6037.0
sachsen_anhalt,single_60_plus,medium,19.0,3571.0
thueringen,single_60_plus,medium,15.0,3452.0
schleswig_holstein,couple_youngest_18_29,medium,4.0,4260.0
hamburg,couple_youngest_18_29,medium,5.0,2541.0
niedersachsen,couple_youngest_18_29,medium,3.0,12795.0
bremen,couple_youngest_18_29,medium,3.0,980.0
nordrhein_westfalen,couple_youngest_18_29,medium,3.0,26582.0
hessen,couple_youngest_18_29,medium,3.0,8882.0
rheinland_pfalz,couple_youngest_18_29,medium,2.0,5769.0
baden_wuerttemberg,couple_youngest_18_29,medium,3.0,15395.0
bayern,couple_youngest_18_29,medium,2.0,17860.0
saarland,couple_youngest_18_29,medium,3.0,1430.0
berlin,couple_youngest_18_29,medium,3.0,5193.0
brandenburg,couple_youngest_18_29,medium,2.0,4074.0
mecklenburg_vorpommern,couple_youngest_18_29,medium,2.0,2631.0
sachsen,couple_youngest_18_29,medium,3.0,6037.0
sachsen_anhalt,couple_youngest_18_29,medium,4.0,3571.0
thueringen,couple_youngest_18_29,medium,3.0,3452.0
schleswig_holstein,couple_youngest_30_59,medium,7.0,4260.0
hamburg,couple_youngest_30_59,medium,4.0,2541.0
niedersachsen,couple_youngest_30_59,medium,6.0,12795.0
bremen,couple_youngest_30_59,medium,4.0,980.0
nordrhein_westfalen,couple_youngest_30_59,medium,6.0,26582.0
hessen,couple_youngest_30_59,medium,6.0,8882.0
rheinland_pfalz,couple_youngest_30_59,medium,8.0,5769.0
baden_wuerttemberg,couple_youngest_30_59,medium,6.0,15395.0
bayern,couple_youngest_30_59,medium,5.0,17860.0
saarland,couple_youngest_30_59,medium,7.0,1430.0
berlin,couple_youngest_30_59,medium,3.0,5193.0
brandenburg,couple_youngest_30_59,medium,7.0,4074.0
mecklenburg_vorpommern,couple_youngest_30_59,medium,9.0,2631.0
sachsen,couple_youngest_30_59,medium,7.0,6037.0
sachsen_anhalt,couple_youngest_30_59,medium,7.0,3571.0
thueringen,couple_youngest_30_59,medium,8.0,3452.0
schleswig_holstein,couple_youngest_60_plus,medium,20.0,4260.0
hamburg,couple_youngest_60_plus,medium,11.0,2541.0
niedersachsen,couple_youngest_60_plus,medium,19.0,12795.0
bremen,couple_youngest_60_plus,medium,19.0,980.0
nordrhein_westfalen,couple_youngest_60_plus,medium,20.0,26582.0
hessen,couple_youngest_60_plus,medium,17.0,8882.0
rheinland_pfalz,couple_youngest_60_plus,medium,21.0,5769.0
baden_wuerttemberg,couple_youngest_60_plus,medium,20.0,15395.0
bayern,couple_youngest_60_plus,medium,20.0,17860.0
saarland,couple_youngest_60_plus,medium,22.0,1430.0
berlin,couple_youngest_60_plus,medium,12.0,5193.0
brandenburg,couple_youngest_60_plus,medium,24.0,4074.0
mecklenburg_vorpommern,couple_youngest_60_plus,medium,22.0,2631.0
sachsen,couple_youngest_60_plus,medium,20.0,6037.0
sachsen_anhalt,couple_youngest_60_plus,medium,25.0,3571.0
thueringen,couple_youngest_60_plus,medium,23.0,3452.0
schleswig_holstein,three_plus_adults,medium,8.0,4260.0
hamburg,three_plus_adults,medium,5.0,2541.0
niedersachsen,three_plus_adults,medium,7.0,12795.0
bremen,three_plus_adults,medium,8.0,980.0
nordrhein_westfalen,three_plus_adults,medium,7.0,26582.0
hessen,three_plus_adults,medium,7.0,8882.0
rheinland_pfalz,three_plus_adults,medium,9.0,5769.0
baden_wuerttemberg,three_plus_adults,medium,8.0,15395.0
bayern,three_plus_adults,medium,9.0,17860.0
saarland,three_plus_adults,medium,11.0,1430.0
berlin,three_plus_adults,medium,5.0,5193.0
brandenburg,three_plus_adults,medium,5.0,4074.0
mecklenburg_vorpommern,three_plus_adults,medium,5.0,2631.0
sachsen,three_plus_adults,medium,5.0,6037.0
sachsen_anhalt,three_plus_adults,medium,4.0,3571.0
thueringen,three_plus_adults,medium,6.0,3452.0
schleswig_holstein,child_under_6,medium,13.0,4260.0
hamburg,child_under_6,medium,14.0,2541.0
niedersachsen,child_under_6,medium,16.0,12795.0
bremen,child_under_6,medium,18.0,980.0
nordrhein_westfalen,child_under_6,medium,16.0,26582.0
hessen,child_under_6,medium,16.0,8882.0
rheinland_pfalz,child_under_6,medium,16.0,5769.0
baden_wuerttemberg,child_under_6,medium,15.0,15395.0
