# MiD 2023 oekonomischer Status x Haushaltstyp x Region.
# Generated by scripts/extract_mid_status_by_hhtype.py from
# mid2023_status_by_hhtype_raumtyp.xlsx (sheet 'MiD Tabellen').
# share_pct = P(hhtype | status, region) in percent; base_weighted =
# weighted base (persons) of the (status, region) cell.
region,hhtype,status,share_pct,base_weighted
laendlich_zentrale_stadt,child_under_14,low,4.0,2953.0
laendlich_mittelstadt,child_under_14,low,6.0,7488.0
laendlich_kleinstaedtisch,child_under_14,low,5.0,7803.0
stadtregion_metropole,child_under_18,low,2.0,6872.0
stadtregion_regiopole_grossstadt,child_under_18,low,4.0,6997.0
stadtregion_mittelstadt,child_under_18,low,3.0,10144.0
stadtregion_kleinstaedtisch,child_under_18,low,4.0,2646.0
laendlich_zentrale_stadt,child_under_18,low,6.0,2953.0
laendlich_mittelstadt,child_under_18,low,2.0,7488.0
laendlich_kleinstaedtisch,child_under_18,low,5.0,7803.0
stadtregion_metropole,single_parent,low,4.0,6872.0
stadtregion_regiopole_grossstadt,single_parent,low,6.0,6997.0
stadtregion_mittelstadt,single_parent,low,5.0,10144.0
stadtregion_kleinstaedtisch,single_parent,low,7.0,2646.0
laendlich_zentrale_stadt,single_parent,low,4.0,2953.0
laendlich_mittelstadt,single_parent,low,4.0,7488.0
laendlich_kleinstaedtisch,single_parent,low,6.0,7803.0
stadtregion_metropole,not_classifiable,low,1.0,6872.0
stadtregion_regiopole_grossstadt,not_classifiable,low,0.0,6997.0
stadtregion_mittelstadt,not_classifiable,low,0.0,10144.0
stadtregion_kleinstaedtisch,not_classifiable,low,0.0,2646.0
laendlich_zentrale_stadt,not_classifiable,low,0.0,2953.0
laendlich_mittelstadt,not_classifiable,low,1.0,7488.0
laendlich_kleinstaedtisch,not_classifiable,low,1.0,7803.0
stadtregion_metropole,single_18_29,medium,5.0,18933.0
stadtregion_regiopole_grossstadt,single_18_29,medium,5.0,16927.0
stadtregion_mittelstadt,single_18_29,medium,4.0,30400.0
stadtregion_kleinstaedtisch,single_18_29,medium,3.0,7556.0
laendlich_zentrale_stadt,single_18_29,medium,3.0,7960.0
laendlich_mittelstadt,single_18_29,medium,3.0,19349.0
laendlich_kleinstaedtisch,single_18_29,medium,3.0,20325.0
stadtregion_metropole,single_30_59,medium,14.0,18933.0
stadtregion_regiopole_grossstadt,single_30_59,medium,10.0,16927.0
stadtregion_mittelstadt,single_30_59,medium,8.0,30400.0
stadtregion_kleinstaedtisch,single_30_59,medium,6.0,7556.0
laendlich_zentrale_stadt,single_30_59,medium,9.0,7960.0
laendlich_mittelstadt,single_30_59,medium,8.0,19349.0
laendlich_kleinstaedtisch,single_30_59,medium,6.0,20325.0
stadtregion_metropole,single_60_plus,medium,17.0,18933.0
stadtregion_regiopole_grossstadt,single_60_plus,medium,17.0,16927.0
stadtregion_mittelstadt,single_60_plus,medium,16.0,30400.0
stadtregion_kleinstaedtisch,single_60_plus,medium,12.0,7556.0
laendlich_zentrale_stadt,single_60_plus,medium,15.0,7960.0
laendlich_mittelstadt,single_60_plus,medium,15.0,19349.0
laendlich_kleinstaedtisch,single_60_plus,medium,12.0,20325.0
stadtregion_metropole,couple_youngest_18_29,medium,5.0,18933.0
stadtregion_regiopole_grossstadt,couple_youngest_18_29,medium,4.0,16927.0
stadtregion_mittelstadt,couple_youngest_18_29,medium,3.0,30400.0
stadtregion_kleinstaedtisch,couple_youngest_18_29,medium,2.0,7556.0
laendlich_zentrale_stadt,couple_youngest_18_29,medium,2.0,7960.0
laendlich_mittelstadt,couple_youngest_18_29,medium,2.0,19349.0
laendlich_kleinstaedtisch,couple_youngest_18_29,medium,2.0,20325.0
stadtregion_metropole,couple_youngest_30_59,medium,6.0,18933.0
stadtregion_regiopole_grossstadt,couple_youngest_30_59,medium,6.0,16927.0
stadtregion_mittelstadt,couple_youngest_30_59,medium,5.0,30400.0
stadtregion_kleinstaedtisch,couple_youngest_30_59,medium,7.0,7556.0
laendlich_zentrale_stadt,couple_youngest_30_59,medium,7.0,7960.0
