school_id,name,level,capacity,ags8,kreis5,x,y,geocode_quality,dist_to_osm_edu_m,validated
abs_33893,Aller-Oker-Schule,grundschule,222.0,03151018,03151,592877.2198266049,5820276.8768513,address,17.291129196901167,True
abs_33911,Grundschule Kunterbunt,grundschule,52.0,03151029,03151,595161.0399535804,5838865.037703753,address,5.314710572635239,True
abs_33923,Grundschule Wahrenholz,grundschule,209.0,03151036,03151,608268.0418116028,5830688.218406264,address,8.8565941596569,True
abs_33947,Oberschule Wesendorf,sekundar_1,382.0,03151038,03151,604005.7750295767,5828498.476861725,address,2.1795406929699075,True
abs_33959,Christian-Albinus-Oberschule Weyhausen,sekundar_1,182.0,03151039,03151,616531.7863869052,5813672.470868306,address,10.208901031812402,True
abs_33960,Grundschule Wittingen,grundschule,272.0,03151040,03151,617420.8896995228,5843788.742303381,address,3.372386087600298,True
abs_33972,Grundschule Knesebeck,grundschule,131.0,03151040,03151,615252.6541733168,5837698.887934036,address,6.488038596054065,True
abs_33984,Grundschule Rühen,grundschule,299.0,03151024,03151,628261.0133003246,5816806.826622834,address,29.279917815753155,True
abs_34009,Hermann-Löns-Schule,grundschule,140.0,03151025,03151,615917.1791493959,5823317.450105953,address,3.1585264137272397,True
abs_34010,Findorff-Schule,grundschule,218.0,03151025,03151,608548.3145831921,5821774.591225305,address,188.47115857253178,True
abs_34034,Grundschule im bunten Dreieck Westerbeck,grundschule,218.0,03151025,03151,611038.884067626,5819101.481111676,address,13.93365026700263,True
abs_38313,Grundschule Bebelhof,grundschule,140.0,03101000,03101,605354.8837905609,5789213.094913256,address,35.4946877833006,True
abs_38325,Grundschule Bültenweg,grundschule,151.0,03101000,03101,604607.9224591048,5792477.310874976,address,7.089223196781934,True
abs_38349,Grundschule Bürgerstraße,grundschule,247.0,03101000,03101,602597.5273364878,5791373.458640924,address,43.208051509410204,True
abs_38350,Grundschule Comeniusstraße,grundschule,397.0,03101000,03101,605548.1635694718,5791697.3172162,address,0.09415049723685394,True
abs_38362,Grundschule Diesterwegstraße,grundschule,287.0,03101000,03101,602428.476582074,5792319.753989042,address,9.128372829893925,True
abs_38374,Grundschule Heinrichstraße,grundschule,374.0,03101000,03101,605231.95977372,5792288.107962741,address,2.7564846064715747,True
abs_38386,Grundschule Klint,grundschule,228.0,03101000,03101,604324.5811292554,5791092.715976121,address,22.100464151447667,True
